Sum of best,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Angola,Benin,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Comoros,Congo,Congo Democratic Republic,Cote d'Ivoire,Egypt,Eswatini,Ethiopia,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Madagascar,Mali,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Sierra Leone,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe,Grand Total
1989,2873,,,,,,50,29,,28,,,2,25385,,,,63,,45,,,207,1552,0,170,,,121,,284,7515,,,,1057,14,18,39413
1990,2609,,,7,6,,686,,,147,9,4,,49856,,,,7,,3729,,582,,1759,,200,89,2644,84,,1459,5335,,,,809,32,14,70067
1991,516,,,278,50,0,95,,,32,0,,,12440,,30,,17,,578,,247,19,1914,,40,380,1102,16,1225,737,4566,,63,,1018,,,25363
1992,2352,,,61,25,3,1190,,2,67,,13,,1026,,63,,159,,453,,86,,521,,29,943,943,135,531,762,4314,1,5,,76,,,13760
1993,12398,,,5,47,4,313,,135,3288,1,108,,133,,2,,287,,2673,,0,,2,,6,1185,959,285,642,895,6042,,48,,,1,,29459
1994,4009,,,56,102,,521,,18,330,4,162,,76,,2004,0,34,,4167,,729,,2,0,50,90,533436,,2097,521,960,,,,160,,,549528
1995,238,,,1547,,,53,,2,523,37,233,,1043,,155,,60,,2290,,4,,1,,67,1,4147,329,3194,143,1494,,,,537,,4,16102
1996,32,,,2673,56,,4,,1,34534,5,149,,65,0,,27,170,,3091,,,,,2,14,87,309,5,943,156,2735,10,,,1768,,,46836
1997,105,,,1573,,,134,56,10412,13895,,143,,12,,,,212,,13,,22,,,,81,595,4706,366,1233,30,4872,10,,,1354,,,39824
1998,1191,,,1398,52,,198,40,3763,8019,0,29,,1027,,,12,322,78,13,,,,,,147,337,1740,343,5155,44,5958,,9,,1214,,1,31090
1999,2666,,,1012,,5,394,,948,7545,0,4,,30786,,,13,229,,70,,59,,,1,,3519,29,31,4493,19,2067,0,,,1024,,1,54915
2000,1206,,,2071,2,6,1070,,,3052,132,5,,48666,,30,256,254,,101,,,,,66,,2104,,56,856,0,3537,,,,1238,1,,64709
2001,2154,,,1253,0,216,230,,3,1341,2,,,388,,50,430,192,,481,,,,,,,2417,2044,47,73,,3719,37,,,212,7,0,15296
2002,579,,,1576,,152,297,,234,7908,1028,,,809,,36,,32,,2259,79,5,,,5,,612,,45,1,2,3227,,,21,1316,,,20223
2003,84,,,1245,,19,37,,33,3846,492,,,1093,,,,7,,3281,,,34,,,,443,,39,,,5010,,,,1629,,0,17292
2004,38,,,679,0,23,78,,,799,304,35,,475,1,,,20,,,,20,,1,,4,2118,16,3,,0,9714,,,,2004,,,16332
2005,15,,,378,0,8,267,,15,312,153,124,,290,8,,3,215,,,,12,,13,,,216,,46,,,1505,,436,,922,,,4938
2006,3,,,185,,190,1956,,,389,11,2,,430,,,15,219,,,,,,,,,225,,126,,,2187,,,,334,,,6272
2007,26,,,79,,143,431,,2,883,3,,,500,,,45,200,,,,39,,,,98,153,,,,,1180,3,,,156,,0,3941
2008,4,,,220,0,8,994,,1,1739,4,2,,311,,55,,783,,,,113,,,,56,425,,11,,,1241,,,,32,,253,6252
2009,25,,,,0,244,135,,,5070,1,1,,590,,8,160,170,,,113,127,,,,,530,2,19,,,2689,,,,59,,0,9943
2010,10,,,,,148,4,,,799,80,1,,152,,1,1,87,,,,28,,7,,,980,,19,,1,1790,,,,74,,,4182
2011,1,,,1,,195,,,1,511,1256,31,,66,,,25,144,,,,23,,,,,1830,0,37,,,2567,,,,,,1,6689
2012,,,,9,,132,,,2,1841,21,75,,385,1,,9,309,,,15,359,,2,,1,2016,13,23,,,1525,,,,,,1,6739
2013,2,,,9,1,3396,,,,2176,4,135,,88,,,98,267,,,,881,,42,,31,3378,4,8,,,1959,,,,,,,12479
2014,0,,,70,1047,3344,16,,,1621,,249,,39,,,,344,,,,291,,30,,5,10334,,,,,1912,,,,7,,,19309
2015,1,,,260,1263,724,397,,0,689,,991,,307,,,3,389,,,,256,,3,,533,9104,,,,0,2552,,,77,,,,17549
2016,26,,26,82,491,688,26,,51,2194,49,404,,529,,,,130,,,,182,,68,,299,3893,27,,,3,1994,,,69,30,,,11261
2017,26,,54,43,410,1797,91,,20,6011,,902,,475,,,,228,,,1,605,,3,,250,3565,10,,,,548,1,,,0,,,15040
2018,24,,195,113,1007,593,168,,,3057,,692,,687,,,,163,,,,1282,,173,,179,3202,11,1,,,425,1,,,2,,4,11979
2019,26,1,1246,75,868,485,253,,0,2486,,467,,354,,,2,188,,1,3,1227,,596,,432,2431,19,,,1,410,6,1,1,2,,8,11589
2020,29,,1164,146,774,281,224,,0,3831,3,346,,3868,,,49,151,,3,23,1488,,1597,,793,3029,,0,,5,603,35,,7,,,2,18451
Grand Total,33268,1,2685,17104,6201,12804,10312,125,15643,118963,3599,5307,2,182351,10,2434,1148,6052,78,23248,234,8667,260,8286,74,3485,60231,552161,2195,20443,5062,96152,104,562,175,17034,55,307,1216822
