"","SurveyType","SurveyYearLabel","IndicatorData","MinAgeWomen","SurveyYear","FieldworkEnd","DHS_CountryCode","NumberOfSamplePoints","CountryName","NumberOfWomen","SubregionName","MaxAgeMen","SurveyNum","SurveyStatus"
"1","DHS","2015-16",1,15,"2015","2016-02-01","AO",627,"Angola",14379,"Middle Africa","54",477,"Completed"
"2","DHS","2006",1,15,"2006","2006-11-01","BJ",750,"Benin",17794,"Western Africa","64",289,"Completed"
"3","DHS","2011-12",1,15,"2012","2012-03-01","BJ",750,"Benin",16599,"Western Africa","64",420,"Completed"
"4","DHS","2017-18",1,15,"2017","2018-02-01","BJ",560,"Benin",15928,"Western Africa","64",491,"Completed"
"5","DHS","2003",1,15,"2003","2003-11-01","BF",400,"Burkina Faso",12477,"Western Africa","59",230,"Completed"
"6","DHS","2010",1,15,"2010","2011-01-01","BF",574,"Burkina Faso",17087,"Western Africa","59",329,"Completed"
"7","DHS","2010",1,15,"2010","2011-01-01","BU",376,"Burundi",9389,"Eastern Africa","59",346,"Completed"
"8","DHS","2016-17",1,15,"2016","2017-02-01","BU",554,"Burundi",17269,"Eastern Africa","59",463,"Completed"
"9","DHS","2012",1,15,"2012","2012-12-01","KM",252,"Comoros",5329,"Eastern Africa","59",443,"Completed"
"10","DHS","1995",1,15,"1995","1996-01-01","EG",934,"Egypt",14779,"North Africa","",71,"Completed"
"11","DHS","2000",1,15,"2000","2000-04-01","EG",1000,"Egypt",15573,"North Africa","",145,"Completed"
"12","DHS","2003",1,15,"2003","2003-06-01","EG",490,"Egypt",9159,"North Africa","",240,"Completed"
"13","DHS","2005",1,15,"2005","2005-06-01","EG",682,"Egypt",19474,"North Africa","",272,"Completed"
"14","DHS","2008",1,15,"2008","2008-06-01","EG",610,"Egypt",16527,"North Africa","",294,"Completed"
"15","DHS","2014",1,15,"2014","2014-06-01","EG",904,"Egypt",21762,"North Africa","",397,"Completed"
"16","DHS","2006-07",1,15,"2006","2007-02-01","SZ",275,"Eswatini",4987,"Southern Africa","49",259,"Completed"
"17","DHS","2005",1,15,"2005","2005-08-01","ET",540,"Ethiopia",14070,"Eastern Africa","59",248,"Completed"
"18","DHS","2011",1,15,"2011","2011-05-01","ET",615,"Ethiopia",16515,"Eastern Africa","59",359,"Completed"
"19","DHS","2016",1,15,"2016","2016-06-01","ET",645,"Ethiopia",15683,"Eastern Africa","59",478,"Completed"
"20","DHS","2013",1,15,"2013","2013-04-01","GM",281,"Gambia",10233,"Western Africa","59",425,"Completed"
"21","DHS","2003",1,15,"2003","2003-10-01","GH",412,"Ghana",5691,"Western Africa","59",235,"Completed"
"22","DHS","2008",1,15,"2008","2008-11-01","GH",412,"Ghana",4916,"Western Africa","59",301,"Completed"
"23","DHS","2014",1,15,"2014","2014-12-01","GH",427,"Ghana",9396,"Western Africa","59",437,"Completed"
"24","DHS","2005",1,15,"2005","2005-06-01","GN",295,"Guinea",7954,"Western Africa","59",249,"Completed"
"25","DHS","2018",1,15,"2018","2018-06-01","GN",400,"Guinea",8000,"Western Africa","59",539,"Completed"
"26","DHS","2009",1,15,"2009","2010-01-01","LS",400,"Lesotho",7624,"Southern Africa","59",317,"Completed"
"27","DHS","2014",1,15,"2014","2014-12-01","LS",400,"Lesotho",6621,"Southern Africa","59",462,"Completed"
"28","DHS","2013",1,15,"2013","2013-07-01","LB",322,"Liberia",9239,"Western Africa","49",435,"Completed"
"29","DHS","2003-04",1,15,"2004","2004-03-01","MD",303,"Madagascar",7949,"Eastern Africa","59",207,"Completed"
"30","DHS","2008-09",1,15,"2008","2009-08-01","MD",600,"Madagascar",17375,"Eastern Africa","59",296,"Completed"
"31","DHS","2000",1,15,"2000","2000-11-01","MW",560,"Malawi",13220,"Eastern Africa","54",158,"Completed"
"32","DHS","2004",1,15,"2004","2005-01-01","MW",522,"Malawi",11698,"Eastern Africa","54",251,"Completed"
"33","DHS","2010",1,15,"2010","2010-11-01","MW",849,"Malawi",23020,"Eastern Africa","54",333,"Completed"
"34","DHS","2015-16",1,15,"2015","2016-02-01","MW",850,"Malawi",24562,"Eastern Africa","54",483,"Completed"
"35","DHS","2001",1,15,"2001","2001-05-01","ML",403,"Mali",12849,"Western Africa","59",159,"Completed"
"36","DHS","2006",1,15,"2006","2006-12-01","ML",410,"Mali",14583,"Western Africa","59",276,"Completed"
"37","DHS","2012-13",1,15,"2012","2013-02-01","ML",415,"Mali",10424,"Western Africa","59",405,"Completed"
