DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
GH200800000001,GHGE5AFL,GH,2008.0,1.0,GH2008DHS,8256.466796875,9386.775390625,10580.365234375,115.4000015258789,119.19166564941406,159.5749969482422,109.375,36.63492202758789,39.511051177978516,52.03532409667969,34.09090805053711,0.04211608263162466,0.054438306735112116,0.05694947792933537,26.525999069213867,26.5,26.553333282470703,26.678333282470703,8.208333015441895,7.491666793823242,7.575000286102295,8.091667175292969,-9999,3652,3412,3526,3572,3903,3882,3911,0.0,0.0,0.0,0.0,38.357142857142854,1210.9580078125,12.0,0.0,0.04654802924963518,0.1146294775610767,0.5430229553410169,23.131635665893555,23.510833740234375,23.725000381469727,23.94234848022461,0.19956871441432408,40.13779558454241,1.8867096219744002,1.8784378596714564,5.475298200334821,0.644568681716919,0.6530702710151672,0.4794355630874634,0.4205394685268402,0.8740513920783997,0.905254602432251,0.5525174736976624,0.4652635157108307,31.325000762939453,31.166667938232422,31.641666412353516,31.59166717529297,27.191667556762695,27.399999618530273,27.84166717529297,27.508333206176758,23.116666793823242,23.67500114440918,24.066667556762695,23.5,0.3390813191731771,20.89666748046875,21.206363677978516,19.737272262573242,20.52166748046875,20.89666748046875,21.206363677978516,3.1500000953674316,3.0166666507720947,3.066666603088379,3.2083334922790527,3964.541422,16030.14887,3912.006442,1629,1714,1577,1552,1706,2070,1492,0.0669128852231162,1.0,1.0,1.0,27.817241668701172,24.71839141845703,27.201148986816406,27.782758712768555,26.931034088134766,25.456321716308594,26.159770965576172,27.906896591186523,27.28620719909668,26.980459213256836,26.120689392089844,25.395401000976562,261.64285714285717,88.92857142857143,74.61488560267857,84.77963692801339,96.38596017020089,108.64205496651786,931.546142578125,1079.967041015625,1244.165283203125,1411.404052734375,77.62190464564732,89.98921421595982,103.67117745535714,117.60648890904018,13.525833129882812,13.977499961853027,17.46416664123535,13.427499771118164
GH200800000002,GHGE5AFL,GH,2008.0,2.0,GH2008DHS,11851.5625,13474.0390625,15187.3515625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.24065962704745206,0.34657246416265314,0.34723416241732513,30.05363655090332,29.3700008392334,29.184999465942383,28.65999984741211,-9999,-9999,-9999,-9999,-9999,1633.0,1617.0,1664.0,3108.0,3942.0,3867.0,3865.0,-9999,-9999,-9999,-9999,51.333333333333336,1332.0692138671875,-9999,0.36531269550323486,0.022121843407695956,0.08282363547865594,0.47494094284537397,25.546363830566406,25.394166946411133,25.459999084472656,25.329999923706055,0.3969723383585612,167.90050455729167,10.434254964192709,3.9889254252115887,13.036021931966145,0.5083699822425842,0.4793950021266937,0.3446498513221741,0.2519524395465851,0.6062780022621155,0.5607166290283203,0.34036165475845337,0.22613181173801422,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.533898189150054,21.735000610351562,22.0,21.039091110229492,21.418333053588867,21.735000610351562,22.0,-9999,-9999,-9999,-9999,4103.825128,74499.63885,2341.933143,1282,954,1280,915,1161,1301,962,0.003092271089553833,2.0,2.0,3.0,27.630769729614258,24.48653793334961,27.09038543701172,27.769229888916016,26.75,25.251922607421875,26.03653907775879,27.615385055541992,27.075000762939453,27.01730728149414,25.940383911132812,25.06730842590332,74.86666666666666,1.8,100.3953857421875,114.07219587053571,129.68865094866072,146.17940848214286,4733.80078125,5723.6005859375,6954.5302734375,8408.224609375,368.073046875,445.0345052083333,540.7450520833333,653.7766276041667,-9999,-9999,-9999,-9999
GH200800000003,GHGE5AFL,GH,2008.0,3.0,GH2008DHS,10286.3779296875,11694.58203125,13181.623046875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.7543822802030123,0.9221810560960036,0.9212290690495417,31.35727310180664,29.815000534057617,30.065000534057617,30.242727279663086,-9999,-9999,-9999,-9999,-9999,2184.0,2419.0,2587.0,3205.0,3959.0,3929.0,3901.0,-9999,-9999,-9999,-9999,82.78571428571429,1332.0692138671875,-9999,0.36531269550323486,0.014561227314820877,0.0739597620840671,0.46764204728506953,26.054546356201172,25.669166564941406,25.669166564941406,26.03136444091797,0.0,0.0,0.0,0.0,0.0,0.4852331578731537,0.4460873305797577,0.30786940455436707,0.22452668845653534,0.5645426511764526,0.505963146686554,0.2885802984237671,0.19227656722068787,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.230313110351563,21.273332595825195,21.81999969482422,20.75181770324707,21.523332595825195,21.273332595825195,21.81999969482422,-9999,-9999,-9999,-9999,3665.250152,68629.47128,3665.237519,1268.0,1121.0,1237.0,900.0,1126.0,1302.0,938.0,0.016392597130366733,3.0,3.0,3.0,27.630769729614258,24.48653793334961,27.09038543701172,27.769229888916016,26.75,25.251922607421875,26.03653907775879,27.615385055541992,27.075000762939453,27.01730728149414,25.940383911132812,25.06730842590332,65.85714285714286,0.0,74.01790945870536,84.10134451729911,95.61479840959821,107.77283586774554,18533.31640625,24394.5078125,31907.48046875,41095.95703125,1544.030552455357,2032.332728794643,2658.246651785714,3423.7483258928573,-9999,-9999,-9999,-9999
GH200800000004,GHGE5AFL,GH,2008.0,4.0,GH2008DHS,3413.653076171875,3880.98193359375,4374.4736328125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.7559071646796333,0.8002201716105143,0.8079973326789008,31.473636627197266,30.020000457763672,30.33333396911621,30.386363983154297,-9999,-9999,-9999,-9999,-9999,2272,2138,2332,2838,3234,3215,3193,-9999,-9999,-9999,-9999,91.75,-9999,-9999,-9999,0.010767760447768119,0.06941674193560872,0.46441950358334194,26.134546279907227,25.809165954589844,26.032499313354492,26.176515579223633,0.0,0.0,0.0,0.0,0.0,0.4735755920410156,0.42961084842681885,0.28885403275489807,0.21016252040863037,0.5437483787536621,0.47988975048065186,0.263030081987381,0.17532436549663544,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.915023515809257,21.731666564941406,21.96666717529297,20.795454025268555,21.59833335876465,21.731666564941406,21.96666717529297,-9999,-9999,-9999,-9999,1210.199898,66823.50764,1145.105574,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.03200861563285192,3.0,3.0,3.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59.92307692307692,0.0,29.723554338727677,33.77278137207031,38.396266392299104,43.27860369001116,17016.830078125,22398.4296875,29296.654296875,37733.28515625,1544.0306490384614,2032.3326322115386,2658.246394230769,3423.748798076923,-9999,-9999,-9999,-9999
GH200800000005,GHGE5AFL,GH,2008.0,5.0,GH2008DHS,4000.374755859375,4548.025390625,5126.3369140625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8617933713472806,0.9485822090735803,0.9460377326378455,31.35727310180664,29.815000534057617,30.065000534057617,30.242727279663086,-9999,-9999,-9999,-9999,-9999,2184,2419,2587,3205,3959,3929,3901,-9999,-9999,-9999,-9999,82.21428571428571,1332.0692138671875,-9999,0.36531269550323486,0.01446845460727486,0.05456545036554063,0.3278973482038071,26.054546356201172,25.669166564941406,25.669166564941406,26.03136444091797,0.0,0.0,0.0,0.0,0.0,0.4466914236545563,0.40973296761512756,0.2784476578235626,0.20691804587841034,0.4974110424518585,0.4476429522037506,0.24941162765026093,0.1714669018983841,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.677382084361295,21.273332595825195,21.81999969482422,20.75181770324707,21.523332595825195,21.273332595825195,21.81999969482422,-9999,-9999,-9999,-9999,3311.151838,69433.97828,3142.686642,1268.0,1121.0,1237.0,900.0,1126.0,1302.0,938.0,0.020172739028930665,3.0,3.0,3.0,27.630769729614258,24.48653793334961,27.09038543701172,27.769229888916016,26.75,25.251922607421875,26.03653907775879,27.615385055541992,27.075000762939453,27.01730728149414,25.940383911132812,25.06730842590332,65.8,0.0,31.789542061941965,36.12021745954241,41.06506783621652,46.28676060267857,19857.48046875,26137.439453125,34187.1953125,44032.171875,1544.0307291666666,2032.3325520833334,2658.246614583333,3423.7486979166665,-9999,-9999,-9999,-9999
GH200800000006,GHGE5AFL,GH,2008.0,6.0,GH2008DHS,26669.763671875,30320.849609375,34176.33984375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.55426701632413,0.803021864457564,0.8602070374922319,31.35727310180664,29.815000534057617,30.065000534057617,30.242727279663086,-9999,-9999,-9999,-9999,-9999,2184.0,2419.0,2587.0,3205.0,3959.0,3929.0,3901.0,-9999,-9999,-9999,-9999,76.5,1332.0692138671875,12,4.093337059020996,0.014561227314820877,0.0739597620840671,0.46764204728506953,26.054546356201172,25.669166564941406,25.669166564941406,26.03136444091797,0.21810194424220494,49.31430925641741,4.012804848807199,1.3233318328857422,5.394594464983259,0.4852331578731537,0.4460873305797577,0.30786940455436707,0.22452668845653534,0.5645426511764526,0.505963146686554,0.2885802984237671,0.19227656722068787,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.563323974609375,21.273332595825195,21.81999969482422,20.75181770324707,21.523332595825195,21.273332595825195,21.81999969482422,-9999,-9999,-9999,-9999,4807.165036,69023.65152,4274.688912,1268.0,1121.0,1237.0,900.0,1126.0,1302.0,938.0,0.016594783536025455,3.0,3.0,3.0,27.43199920654297,24.319000244140625,26.89699935913086,27.552000045776367,26.53499984741211,25.076000213623047,25.86400032043457,27.434999465942383,26.937000274658203,26.78700065612793,25.727001190185547,24.972000122070312,67.35714285714286,0.0,214.45221354166668,243.66695963541667,277.0248697916667,312.250390625,18533.21875,24394.375,31907.310546875,41095.734375,1544.0306919642858,2032.3325892857142,2658.246651785714,3423.7488839285716,-9999,-9999,-9999,-9999
GH200800000007,GHGE5AFL,GH,2008.0,7.0,GH2008DHS,38487.2421875,43756.140625,49320.015625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.44438018117632183,0.5846001761300224,0.6490082740783691,29.333637237548828,28.133333206176758,28.454999923706055,27.65166664123535,-9999,-9999,-9999,-9999,-9999,2793,3121,3334,3447,3812,3837,3840,-9999,-9999,-9999,-9999,83.78571428571429,1332.0692138671875,12,0.0,0.013741391648497685,0.07303142547707181,0.46616144346435284,24.576364517211914,24.49250030517578,24.917499542236328,24.485000610351562,0.28802428926740375,138.15513392857142,7.110312325613839,3.1758763449532643,9.874095371791295,0.5119167566299438,0.46295785903930664,0.331277072429657,0.24627865850925446,0.6106930375099182,0.5345209836959839,0.32065749168395996,0.21898607909679413,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.290665965969279,21.3799991607666,21.31833267211914,19.819091796875,20.851667404174805,21.3799991607666,21.31833267211914,-9999,-9999,-9999,-9999,3450.243678,62103.98859,3464.602152,1418.0,1331.0,1356.0,1037.0,1338.0,1579.0,1026.0,0.017518373472349986,3.0,3.0,3.0,27.5,24.419403076171875,26.985074996948242,27.69552230834961,26.6776123046875,25.113433837890625,25.941791534423828,27.598506927490234,26.992536544799805,26.922388076782227,25.8089542388916,25.023880004882812,60.714285714285715,2.7142857142857144,314.32114955357144,357.14097377232144,406.033447265625,457.66329520089283,18532.1484375,24392.970703125,31905.470703125,41093.3671875,1544.0306919642858,2032.3325892857142,2658.246651785714,3423.748604910714,-9999,-9999,-9999,-9999
GH200800000008,GHGE5AFL,GH,2008.0,8.0,GH2008DHS,2768.56201171875,3147.57763671875,3547.812744140625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.6641661037098278,0.7114417336203835,0.7238979339599609,31.473636627197266,30.020000457763672,30.33333396911621,30.386363983154297,-9999,-9999,-9999,-9999,-9999,2272.0,2138.0,2332.0,2838.0,3234.0,3215.0,3193.0,-9999,-9999,-9999,-9999,99.26666666666667,1332.0692138671875,12,0.0,0.010767760447768119,0.06941674193560872,0.46441950358334194,26.134546279907227,25.809165954589844,26.032499313354492,26.176515579223633,0.11046131451924641,49.131884765625,2.5134312947591146,1.035224469502767,3.389197285970052,0.4735755920410156,0.42961084842681885,0.28885403275489807,0.21016252040863037,0.5437483787536621,0.47988975048065186,0.263030081987381,0.17532436549663544,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.882097278941761,21.731666564941406,21.96666717529297,20.795454025268555,21.59833335876465,21.731666564941406,21.96666717529297,-9999,-9999,-9999,-9999,1334.498619,62192.55885,1435.736991,1418,1331,1356,1037,1338,1579,1026,0.017282024025917053,3.0,3.0,3.0,27.5,24.419403076171875,26.985074996948242,27.69552230834961,26.6776123046875,25.113433837890625,25.941791534423828,27.598506927490234,26.992536544799805,26.922388076782227,25.8089542388916,25.023880004882812,58.2,0.0,20.772064208984375,23.6018310546875,26.832918294270833,30.24489949544271,19854.849609375,26133.9765625,34182.671875,44026.33984375,1544.0305989583333,2032.3326822916667,2658.246614583333,3423.7486979166665,-9999,-9999,-9999,-9999
GH200800000009,GHGE5AFL,GH,2008.0,9.0,GH2008DHS,17853.5703125,20297.720703125,22878.70703125,97.375,101.04167175292969,131.35833740234375,92.94166564941406,31.495956420898438,33.03814697265625,42.3736572265625,29.583555221557617,0.0812946047101702,0.11135001693453107,0.1706408773149763,28.02199935913086,27.10333251953125,27.388334274291992,27.545000076293945,7.9083333015441895,7.1666669845581055,7.225000381469727,7.783333778381348,-9999,3277.0,3993.0,3957.0,3441.0,3812.0,3866.0,3872.0,0.0,0.0,0.0,0.0,63.57142857142857,1176.3251953125,11,0.0,0.008388548566754587,0.07189872658074394,0.5005156962251754,23.964181900024414,23.80666732788086,24.281665802001953,24.21583366394043,0.32645702362060547,220.54849679129464,7.441160474504743,3.588299342564174,11.327812194824219,0.49746009707450867,0.4320087432861328,0.2996203303337097,0.22010928392410278,0.5852453112602234,0.4863566756248474,0.27736225724220276,0.1886097937822342,30.96666717529297,30.783334732055664,31.258333206176758,31.25,27.0,27.183334350585938,27.616666793823242,27.325000762939453,23.058334350585938,23.616666793823242,24.03333282470703,23.46666717529297,0.8951289290088719,21.174999237060547,20.886667251586914,19.90636444091797,20.510000228881836,21.174999237060547,20.886667251586914,3.0916666984558105,3.058333396911621,3.1000001430511475,3.1416666507720947,3637.089751,52346.19442,4305.432852,1452.0,1236.0,1378.0,1035.0,1259.0,1567.0,1150.0,0.009385536823953902,1.0,1.0,2.0,27.618518829345703,24.456789016723633,27.065431594848633,27.75061798095703,26.71975326538086,25.13827133178711,26.05678939819336,27.686420440673828,27.174074172973633,26.992591857910156,25.933332443237305,25.13456916809082,76.0,3.7857142857142856,101.07655552455357,114.84615652901786,130.56855991908483,147.17121233258928,4225.4931640625,5561.86181640625,7274.7587890625,9369.6640625,352.08328683035717,463.43443080357144,606.1591099330357,780.7141462053571,13.457499504089355,13.950833320617676,17.039165496826172,13.37833309173584
GH200800000010,GHGE5AFL,GH,2008.0,10.0,GH2008DHS,4626.6416015625,5260.0283203125,5928.8759765625,97.375,101.04167175292969,131.35833740234375,92.94166564941406,31.495956420898438,33.03814697265625,42.3736572265625,29.583555221557617,0.05495313497690054,0.06730687618255615,0.08286671455089863,26.504545211791992,27.56833267211914,27.266666412353516,27.82272720336914,7.9083333015441895,7.1666669845581055,7.225000381469727,7.783333778381348,-9999,4172,4230,4395,4086,4015,4002,3976,0.0,0.0,0.0,0.0,44.666666666666664,1176.3251953125,11,0.0,0.010630494755964951,0.07140929087229766,0.47702005294773936,22.76909065246582,23.724166870117188,23.870832443237305,23.84969711303711,0.28392340342203776,178.89851888020834,5.860024007161458,3.3220006306966146,9.599007161458333,0.5365961194038391,0.4675421118736267,0.38864219188690186,0.287601500749588,0.6530743837356567,0.5436124205589294,0.40106669068336487,0.2730052173137665,30.96666717529297,30.783334732055664,31.258333206176758,31.25,27.0,27.183334350585938,27.616666793823242,27.325000762939453,23.058334350585938,23.616666793823242,24.03333282470703,23.46666717529297,0.1908791969562399,20.475000381469727,19.876667022705078,19.03363609313965,19.8799991607666,20.475000381469727,19.876667022705078,3.0916666984558105,3.058333396911621,3.1000001430511475,3.1416666507720947,10171.36089,40452.28806,10195.87016,1415,1179,1345,1116,1320,1612,1150,0.01651769975821177,1.0,1.0,2.0,27.610000610351562,24.45599937438965,27.003000259399414,27.67300033569336,26.677000045776367,25.123001098632812,26.058000564575195,27.630001068115234,27.16699981689453,26.89699935913086,25.920000076293945,25.152000427246094,78.86666666666666,15.8,71.8745361328125,81.665966796875,92.8460205078125,104.652001953125,3790.833251953125,4838.9052734375,6159.3740234375,7744.8984375,294.85113932291665,376.37018229166665,479.07610677083335,602.3981119791666,13.457499504089355,13.950833320617676,17.039165496826172,13.37833309173584
