DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
GH200300000001,GHGE4BFL,GH,2003.0,1.0,GH2003DHS,56062.4765625,63737.41796875,71842.046875,97.375,101.04167175292969,131.35833740234375,92.94166564941406,31.495956420898438,33.03814697265625,42.3736572265625,29.583555221557617,0.05043195850841631,0.10418290821159676,0.17336584867363097,26.689944458007812,26.39892578125,26.669757080078124,27.402801513671875,7.9083333015441895,7.1666669845581055,7.225000381469727,7.783333778381348,-9999,3418.0,3401.7,3464.5,3399.4,3559.0,3563.2,3535.5,0.0,0.0,0.0,0.0,49.4207650273224,1193.6416015625,11.0,0.0705796480178833,0.07907255402066252,0.1501206277956781,0.5898596898130891,23.052154541015625,23.177879333496094,23.497416687011718,23.858317565917968,0.23544424706762965,33.385463169642854,3.4251621791294644,2.1815484015496223,6.809698419256525,0.5607365926106771,0.5405511856079102,0.37558170954386394,0.2854512532552083,0.7023167928059896,0.6719216028849284,0.3880213737487793,0.27231521606445314,30.96666717529297,30.783334732055664,31.258333206176758,31.25,27.0,27.183334350585938,27.616666793823242,27.325000762939453,23.058334350585938,23.616666793823242,24.03333282470703,23.46666717529297,1.3866930162584459,20.325076293945312,20.31383361816406,19.41436309814453,19.956832885742188,20.325076293945312,20.31383361816406,3.0916666984558105,3.058333396911621,3.1000001430511475,3.1416666507720947,48296.77792,53735.72097,47393.40008,1607.9,1649.9,1622.9,1317.3,1671.4,1861.8,1292.5,0.059963729355361435,0.0,0.0,1.0,27.479999542236328,24.472749710083008,26.734498977661133,27.426000595092773,26.565250396728516,25.041000366210938,25.86924934387207,27.496749877929688,26.991750717163086,26.65625,25.89099884033203,25.133501052856445,145.2554945054945,103.26098901098901,17.930607621387768,20.37328576528898,23.162385017641128,26.107634513608872,22045.3125,22805.822265625,23444.359375,23732.02734375,70.85331709306318,73.29759400755495,75.3498293698489,76.27439259958791,13.457499504089355,13.950833320617676,17.039165496826172,13.37833309173584
GH200300000002,GHGE4BFL,GH,2003.0,2.0,GH2003DHS,28749.373046875,32685.15625,36841.28515625,81.76667022705078,96.83333587646484,113.34166717529297,84.42500305175781,26.663043975830078,32.54901885986328,37.780555725097656,27.381080627441406,0.008227168561551517,0.010064182951808357,0.017017361455070323,26.54955376519097,26.062674628363716,26.546668158637154,26.642491658528645,9.383333206176758,8.583333969116211,8.699999809265137,9.02500057220459,-9999,3986.1111111111113,3979.777777777778,4116.444444444444,4279.0,4486.444444444444,4572.111111111111,4619.0,0.0,0.0,0.0,0.0,31.219839142091153,1193.0541294642858,12.0,0.0,0.22557829131696655,0.27541982604638426,0.74864744380098,22.768564860026043,22.734670003255207,23.189166598849827,23.257829454210068,0.007372373534787086,25.424935945900536,0.23075436007591985,0.2301504688878213,0.340779048140331,0.5352423350016277,0.3905177116394043,0.46558542251586915,0.3334559758504232,0.6605097452799479,0.4150978724161784,0.5309759775797526,0.3422604242960612,31.416667938232422,31.225000381469727,31.65833282470703,31.633333206176758,26.691667556762695,26.90833282470703,27.28333282470703,27.09166717529297,22.03333282470703,22.641666412353516,22.95833396911621,22.608333587646484,0.020139722508991882,19.831666734483505,19.873165554470486,18.98757595486111,19.406665378146702,19.831666734483505,19.873165554470486,3.066666603088379,2.9750001430511475,3.0,3.0833334922790527,105506.41,79795.39916,37935.88269,1699.4444444444443,1369.0,1579.0,1359.888888888889,1388.888888888889,1640.4444444444443,1097.6666666666667,0.6439220469485047,0.0,0.0,0.0,26.972999572753906,24.159250259399414,25.884248733520508,26.92224884033203,25.808000564575195,24.52750015258789,25.377750396728516,27.13050079345703,26.545249938964844,26.11600112915039,25.679500579833984,25.01449966430664,132.05107526881721,63.693548387096776,8.777628363135026,9.973400421958557,11.338757520053475,12.780554133940509,30943.67578125,35748.296875,41209.2734375,46960.75390625,97.26625504032258,112.36830057123656,129.5333501344086,147.61148563508064,13.934999465942383,15.964166641235352,18.13166618347168,15.199166297912598
GH200300000003,GHGE4BFL,GH,2003.0,3.0,GH2003DHS,112340.7890625,127720.2109375,143960.671875,89.13333892822266,97.26667022705078,109.875,88.55000305175781,28.0,31.97808265686035,35.635135650634766,27.671875,0.7291163531216708,0.9569488872181285,0.9910444779829546,27.507999420166016,27.729999542236328,28.99909019470215,30.17888832092285,9.716667175292969,9.066666603088379,9.27500057220459,9.466667175292969,-9999,2784.0,2813.0,2839.0,2843.0,2780.0,2669.0,2657.0,0.0,0.0,0.0,0.0,68.14285714285714,1230.05810546875,12,4.886918067932129,0.04135300942486035,0.10223365897900612,0.47987874011443205,23.444454193115234,23.71500015258789,24.82454490661621,25.226110458374023,1.697402000427246,3361.59375,25.80698503766741,0.6440356118338448,15.367660522460938,0.3145366609096527,0.26417040824890137,0.2892272472381592,0.19680343568325043,0.2911307215690613,0.22287043929100037,0.2592160999774933,0.1593172252178192,31.666667938232422,31.608333587646484,32.05833435058594,31.983333587646484,26.783334732055664,27.058334350585938,27.40833282470703,27.233333587646484,21.950000762939453,22.54166603088379,22.78333282470703,22.516666412353516,9.213163248697917,20.649999618530273,20.273332595825195,19.380908966064453,19.700000762939453,20.649999618530273,20.273332595825195,3.183333396911621,3.0416667461395264,3.0833332538604736,3.200000047683716,164853.0059,16189.00235,22302.52015,1580,1192,1453,1195,1310,1465,1100,0.22151884010859899,3.0,3.0,3.0,27.242000579833984,24.308000564575195,26.132999420166016,27.40399932861328,26.19099998474121,24.69099998474121,25.71299934387207,27.518999099731445,26.78700065612793,26.48699951171875,25.68899917602539,25.000999450683594,21.0,0.0,970.9073567708333,1103.1734375,1254.19765625,1413.6770833333333,58032.515625,76412.515625,99981.2578125,128818.671875,4849.498325892857,6385.426897321428,8354.953125,10764.755580357143,13.908332824707031,14.018332481384277,16.857500076293945,13.869166374206543
GH200300000004,GHGE4BFL,GH,2003.0,4.0,GH2003DHS,79498.0703125,90381.34375,101873.9296875,85.23333740234375,94.19166564941406,119.58333587646484,82.51667022705078,26.63541603088379,29.902116775512695,37.272727966308594,25.455013275146484,0.023537588576539255,0.04137123583223873,0.058017468680969825,28.881527709960938,27.84148254394531,28.008544921875,27.824746704101564,7.525000095367432,6.625,6.675000190734863,7.266666889190674,-9999,4168.4,4209.5,4359.5,4389.2,4514.3,4553.2,4535.6,0.0,0.0,0.0,0.0,32.08719346049046,1248.733154296875,10.0,0.35824647545814514,0.000788922134915072,0.053793127331219666,0.4943863790261017,23.971400451660156,23.788323974609376,24.4427734375,24.048207092285157,0.8838100173492848,117.23377895095368,7.813235082808243,2.535675131982289,9.213491995912806,0.5222444534301758,0.4057772709773137,0.49799090165358323,0.3826022514930138,0.6131433340219351,0.4312123518723708,0.5727172998281626,0.40313361241267276,30.625,30.350000381469727,30.84166717529297,30.858333587646484,26.83333396911621,27.016666412353516,27.46666717529297,27.191667556762695,23.100000381469727,23.725000381469727,24.166667938232422,23.59166717529297,0.18757780533147472,20.877001953125,20.27166748046875,19.061273193359376,19.73516845703125,20.877001953125,20.27166748046875,3.200000047683716,3.1500000953674316,3.2083332538604736,3.241666793823242,17101.72185,28819.4711,15614.68381,1292.3,967.6,1337.4,1005.8,1234.7,1404.0,982.4,0.04134168806777663,0.0,1.0,1.0,27.917499542236328,24.742250442504883,27.302249908447266,27.913249969482422,26.990751266479492,25.26824951171875,26.311248779296875,28.195249557495117,27.592498779296875,27.176748275756836,26.287500381469727,25.578500747680664,123.87193460490464,22.465940054495913,26.35743517966621,29.948095836171664,34.04798194822888,38.37740548365122,63418.85546875,75463.203125,89351.2109375,104314.6875,202.6575698228883,241.1294065054496,285.4871849455041,333.27565139645776,12.278332710266113,12.574166297912598,15.507499694824219,12.658332824707031
GH200300000005,GHGE4BFL,GH,2003.0,5.0,GH2003DHS,31030.30859375,35278.3515625,39764.22265625,94.65833282470703,95.79167175292969,113.13333129882812,82.0250015258789,23.813417434692383,25.773542404174805,30.50786590576172,21.167741775512695,0.00027887325602979324,0.0005903688673013315,0.0006388571506110244,30.925439453125,31.969561767578124,31.54346923828125,33.569891357421874,11.458333969116211,10.675000190734863,10.975000381469727,10.891666412353516,5.0,2863.6,2863.3,2929.0,2985.8,3180.5,3207.6,3229.4,0.0,0.0,0.0,0.0,28.73190348525469,1055.9614583333334,9.0,0.0,0.15447994082603309,0.24663466515068694,0.7678537280990753,25.946990966796875,26.587030029296876,26.40902099609375,27.61661376953125,0.7987114545806803,5.602201323726542,0.8959410312028736,0.40819539333476457,0.885722796974489,0.6663408279418945,0.6155946731567383,0.6503545761108398,0.4522751490275065,0.8152333577473958,0.7127137502034505,0.8002976099650065,0.44678306579589844,33.633331298828125,33.65833282470703,33.983333587646484,33.900001525878906,27.866666793823242,28.291667938232422,28.45833396911621,28.433334350585938,22.17500114440918,22.983333587646484,23.008333206176758,23.008333206176758,0.01992507955148585,21.274575805664064,21.663333129882812,20.968545532226564,21.204499816894533,21.274575805664064,21.663333129882812,3.9750001430511475,3.7166666984558105,3.7083334922790527,3.875,40777.63207,66522.42364,14457.35187,1470.75,1151.0833333333333,1377.5,1308.9166666666667,1160.9166666666667,1573.6666666666667,1137.0833333333333,0.17421092424571674,0.0,0.0,0.0,29.34375,25.59925079345703,27.0935001373291,29.537500381469727,27.7085018157959,25.90074920654297,26.779499053955078,30.04974937438965,28.274749755859375,27.849498748779297,27.15450096130371,26.264751434326172,173.71581769436997,22.091152815013405,12.067302083333333,13.711225260416667,15.588290364583333,17.570440104166668,12760.6953125,16263.0029296875,20596.1953125,25684.96484375,40.21670262231903,51.25460267258713,64.91113019436997,80.94893075569705,10.348333358764648,10.852499961853027,11.789166450500488,10.045833587646484
GH200300000006,GHGE4BFL,GH,2003.0,6.0,GH2003DHS,49899.23046875,56730.421875,63944.06640625,88.06666564941406,97.7750015258789,109.76667022705078,87.4749984741211,27.8839054107666,32.057376861572266,35.50404357910156,27.62368392944336,0.024130936640842704,0.036931168501544154,0.06346870227983803,26.13275655110677,25.448259989420574,26.493057250976562,27.04442850748698,9.77500057220459,9.066666603088379,9.291666984558105,9.466667175292969,-9999,4193.25,4252.75,4347.916666666667,4399.166666666667,4601.916666666667,4648.583333333333,4651.25,0.0,0.0,0.0,0.0,32.68716577540107,1230.0580357142858,12.0,2.3440375328063965,0.06431785081012736,0.13418093124929648,0.5715202039647129,22.888877868652344,22.883575439453125,23.635833740234375,23.611658732096355,1.1350550101845258,412.808688002681,9.044099782171582,0.9442213943113271,10.825368763614277,0.4362529345921108,0.38551041058131624,0.46452529089791433,0.3103554589407785,0.46759939193725586,0.38893307958330425,0.5145256178719657,0.3007704530443464,31.541667938232422,31.441667556762695,31.92500114440918,31.816667556762695,26.633333206176758,26.883333206176758,27.25,27.066667556762695,21.766666412353516,22.375,22.633333206176758,22.350000381469727,0.1353498746447663,20.778610229492188,20.17888895670573,19.645000457763672,20.318888346354168,20.778610229492188,20.17888895670573,3.1583333015441895,3.049999952316284,3.0916666984558105,3.1666667461395264,155765.7194,34242.84105,4478.768832,1817.1666666666667,1300.5,1608.5833333333333,1321.9166666666667,1374.6666666666667,1591.0833333333333,1152.5833333333333,0.7290866227955345,0.0,0.0,1.0,26.899999618530273,23.909000396728516,25.939498901367188,27.052499771118164,25.859249114990234,24.363500595092773,25.380250930786133,27.18724822998047,26.493751525878906,26.225000381469727,25.441999435424805,24.680500030517578,87.94906166219839,25.099195710455763,17.878643444189603,20.314244074923547,23.09525814698012,26.031972715978593,52890.8203125,58752.1796875,64873.19140625,70557.921875,191.04860074626865,212.28885261194029,234.47961753731343,255.10513059701492,14.021666526794434,14.934165954589844,16.455833435058594,14.59416675567627
GH200300000007,GHGE4BFL,GH,2003.0,7.0,GH2003DHS,167761.1875,190727.6875,214979.9375,68.26667022705078,85.59166717529297,101.5,71.5250015258789,19.23004722595215,24.990266799926758,29.138755798339844,20.14788818359375,0.8362600538465712,0.8426092995537652,0.8396520084804959,33.546363830566406,31.883333206176758,33.518333435058594,32.53666687011719,7.275000095367432,6.425000190734863,6.5,6.891666889190674,-9999,1309,1310,1295,1328,1421,1402,1399,0.0,0.0,0.0,0.0,68.33333333333333,1369.4129638671875,-9999,0.48154720664024353,-9999,-9999,-9999,27.704545974731445,26.97916603088379,28.391666412353516,27.670000076293945,0.23548221588134766,21.89359630237926,0.3889060453935103,165.24202104048297,2.3980967781760474,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.408334732055664,31.191667556762695,31.625,31.600000381469727,27.741666793823242,27.950000762939453,28.350000381469727,28.133333206176758,24.133333206176758,24.76666831970215,25.125,24.70833396911621,12.302042643229166,23.264999389648438,22.803333282470703,21.862728118896484,22.075000762939453,23.264999389648438,22.803333282470703,3.5500001907348633,3.4250001907348633,3.4833333492279053,3.549999952316284,590.0870099,114168.2358,528.8795482,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3982381224632263,3.0,3.0,3.0,28.61964225769043,25.332141876220703,27.776784896850586,28.60714340209961,27.766071319580078,25.58392906188965,26.678571701049805,28.733928680419922,27.89642906188965,27.96071434020996,27.123214721679688,26.10178565979004,10.363636363636363,0.0,1320.75927734375,1500.6857421875,1706.129296875,1923.074609375,75099.15625,89235.6953125,105366.65625,122510.65625,8024.355823863636,9534.848011363636,11258.441761363636,13090.282670454546,10.921666145324707,12.139999389648438,14.310832977294922,12.196666717529297
GH200300000008,GHGE4BFL,GH,2003.0,8.0,GH2003DHS,123765.1875,140708.625,158600.625,89.13333892822266,97.26667022705078,109.875,88.55000305175781,28.0,31.97808265686035,35.635135650634766,27.671875,0.765525991266424,0.9547465931285511,0.9643265117298473,28.538000106811523,28.68400001525879,30.16090965270996,32.1077766418457,9.716667175292969,9.066666603088379,9.27500057220459,9.466667175292969,-9999,3302.0,3187.0,3134.0,3311.0,3201.0,3030.0,2982.0,0.0,0.0,0.0,0.0,65.875,1230.05810546875,12.0,3.926171064376831,0.02610368577223929,0.06203704901928198,0.29889475918673414,23.82763671875,24.392833709716797,25.482120513916016,26.594722747802734,1.247387440999349,2777.7598958333333,18.19515177408854,0.5311245600382487,11.06488749186198,0.2574286460876465,0.2159086912870407,0.23323847353458405,0.16408969461917877,0.21876122057437897,0.16502736508846283,0.1881570816040039,0.1247238889336586,31.666667938232422,31.608333587646484,32.05833435058594,31.983333587646484,26.783334732055664,27.058334350585938,27.40833282470703,27.233333587646484,21.950000762939453,22.54166603088379,22.78333282470703,22.516666412353516,12.515359812769397,20.803333282470703,21.081666946411133,19.117273330688477,20.101667404174805,20.803333282470703,21.081666946411133,3.183333396911621,3.0416667461395264,3.0833332538604736,3.200000047683716,161600.4239,13504.59099,25162.21317,1554,1188,1432,1160,1281,1465,1098,0.20200201670328777,3.0,3.0,3.0,27.52899932861328,24.625,26.3489990234375,27.715999603271484,26.457000732421875,25.014999389648438,25.94700050354004,27.809999465942383,27.04800033569336,26.75200080871582,25.96000099182129,25.29800033569336,20.8,0.0,909.7622767857143,1033.6986607142858,1175.2117745535713,1324.6476004464287,62177.54296875,81870.3515625,107122.5078125,138019.65625,4849.497916666666,6385.4265625,8354.953125,10764.757291666667,13.908332824707031,14.018332481384277,16.857500076293945,13.869166374206543
GH200300000009,GHGE4BFL,GH,2003.0,9.0,GH2003DHS,207805.640625,236254.1875,266295.4375,68.26667022705078,85.59166717529297,101.5,71.5250015258789,19.23004722595215,24.990266799926758,29.138755798339844,20.14788818359375,0.9669915607997349,0.972555296761649,0.9730236870901925,34.03363800048828,32.084999084472656,33.688331604003906,32.55666732788086,7.275000095367432,6.425000190734863,6.5,6.891666889190674,-9999,1403,1376,1338,1514,1795,1889,1831,0.0,0.0,0.0,0.0,75.4,1369.4129638671875,-9999,1.8110660314559937,0.014574977412334243,0.029264147724279748,0.23064770961689407,28.03545379638672,27.325834274291992,28.613332748413086,27.731666564941406,0.0,0.0,0.0,0.0,0.0,0.28319859504699707,0.12021207064390182,0.11772825568914413,0.12582124769687653,0.3082082271575928,0.07996691763401031,0.07957988232374191,0.09714610129594803,31.408334732055664,31.191667556762695,31.625,31.600000381469727,27.741666793823242,27.950000762939453,28.350000381469727,28.133333206176758,24.133333206176758,24.76666831970215,25.125,24.70833396911621,16.411733853614937,23.538333892822266,22.906665802001953,22.037273406982422,22.566667556762695,23.538333892822266,22.906665802001953,3.5500001907348633,3.4250001907348633,3.4833333492279053,3.549999952316284,3932.031248,113516.6291,3852.363327,901,700,1102,739,916,1100,824,0.43735408782958984,3.0,3.0,3.0,28.10120391845703,24.887950897216797,27.565059661865234,28.197589874267578,27.471084594726562,25.18313217163086,26.3144588470459,28.286746978759766,27.4903621673584,27.55301284790039,26.625301361083984,25.671083450317383,6.6,0.0,1211.9395833333333,1377.04140625,1565.5580729166666,1764.62890625,103052.4609375,122450.875,144586.078125,168111.40625,8021.104166666667,9530.984375,11253.88125,13084.979166666666,10.921666145324707,12.139999389648438,14.310832977294922,12.196666717529297
GH200300000010,GHGE4BFL,GH,2003.0,10.0,GH2003DHS,57656.65625,65549.84375,73884.9296875,78.56666564941406,93.55833435058594,111.45000457763672,79.67500305175781,24.42487144470215,30.01871681213379,35.38095474243164,24.705427169799805,0.010330474187457372,0.013653455461774553,0.031363929264129155,27.188400268554688,27.251443481445314,27.394757080078126,27.740292358398438,8.125,7.300000190734863,7.375,7.7833333015441895,-9999,4495.9,4556.0,4627.3,4522.4,4809.2,4940.5,4935.1,0.0,0.0,0.0,0.0,29.30188679245283,1369.4129638671875,11.0,0.4262239138285319,0.14592572931863096,0.20203356147766055,0.6639667390209266,23.097563171386717,23.531100463867187,23.866461181640624,23.811979675292967,0.014185986428890587,102.61866155660377,0.4601585203103942,0.4198384657702999,0.6228854032860933,0.5205698746901292,0.3463761256291316,0.4047061846806453,0.3111920723548302,0.6336868726290189,0.3505516052246094,0.433892506819505,0.3140778908362755,31.258333206176758,31.066667556762695,31.475000381469727,31.45833396911621,27.16666603088379,27.375,27.758333206176758,27.549999237060547,23.133333206176758,23.766666412353516,24.100000381469727,23.67500114440918,0.11875376555879237,20.338166809082033,19.8836669921875,19.006727600097655,19.810757446289063,20.338166809082033,19.8836669921875,3.2166666984558105,3.116666793823242,3.1500000953674316,3.2249999046325684,53568.61257,84262.17868,53568.64433,1577.4166666666667,1274.25,1664.0833333333333,1311.75,1485.8333333333333,1681.0,1160.6666666666667,1.3859728378748315,0.0,0.0,0.0,26.594334920247395,23.86199951171875,25.772000630696613,26.64166768391927,25.67333475748698,24.113667805989582,24.96466573079427,26.674667358398438,26.16699981689453,25.83300018310547,25.364664713541668,24.699000040690105,148.83827493261455,32.684636118598384,17.90751128235695,20.34704157442098,23.13254640667575,26.074000553474114,59854.578125,66503.78125,73511.234375,80097.3046875,188.47310899595686,209.41025101078168,231.4754885444744,252.21386455525607,12.764999389648438,13.71500015258789,16.2016658782959,13.709166526794434
