DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
GH201400000001,GHGE71FL,GH,2014.0,1.0,GH2014DHS,27588.44921875,31365.30078125,35353.6015625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.005036098126786205,0.007824178701772476,0.018883571076316955,27.365559895833332,26.95728047688802,26.84478759765625,27.205408732096355,-9999,-9999,-9999,-9999,-9999,4055.0,4065.6666666666665,4089.6666666666665,3861.1666666666665,4052.75,4037.5,4008.5,-9999,-9999,-9999,-9999,32.78763440860215,1203.4380580357142,12.0,2.2445613543192544,0.04062405410624142,0.11217133451940299,0.5488808383931391,23.265355428059895,23.37988789876302,23.49072774251302,23.707356770833332,0.19502542089580527,51.80688805592992,3.6067437431561657,2.6044253943101414,7.5595202998652296,0.582510130746024,0.5754249436514718,0.4527961867196219,0.3439272131238665,0.744375501360212,0.7406033107212612,0.506295987537929,0.35037030492510113,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.08414732040311916,20.136667887369793,20.209306081136067,19.165150960286457,19.802499135335285,20.136667887369793,20.209306081136067,-9999,-9999,-9999,-9999,18972.86145,57243.08855,18930.58001,1539.6,1328.5,1536.1,1247.7,1509.7,1768.1,1235.2,0.1675504905515604,0.0,0.0,0.0,27.25,24.106000264485676,26.814666748046875,27.29833221435547,26.40966542561849,24.8903325398763,25.632001241048176,27.153666178385418,26.657999674479168,26.437332153320312,25.485333760579426,24.691665649414062,145.06469002695417,41.02964959568733,8.818366574857574,10.019688992334116,11.391384257707776,12.839871240365282,27167.04296875,28206.873046875,29109.283203125,29587.8515625,85.41128811489219,88.68039294137466,91.51744651280323,93.02197397237197,-9999,-9999,-9999,-9999
GH201400000002,GHGE71FL,GH,2014.0,2.0,GH2014DHS,183663.59375,208807.09375,235358.28125,68.26667022705078,85.59166717529297,101.5,71.5250015258789,19.23004722595215,24.990266799926758,29.138755798339844,20.14788818359375,0.015266832833092053,0.020047848978743385,0.07230391822303064,29.510113525390626,28.980648803710938,29.311862182617187,29.210797119140626,7.275000095367432,6.425000190734863,6.5,6.891666889190674,-9999,4240.9,4275.0,4358.2,4135.5,4315.9,4370.4,4398.4,0.0,0.0,0.0,0.0,34.66129032258065,1369.4130208333333,10.0,5.1893736521403,0.10193444198828006,0.14612422086035767,0.5696238317068582,24.499057006835937,24.52915802001953,25.11168212890625,24.85648193359375,2.2171038604489555,818.8215128032346,7.30133994377527,2.15928629337938,7.865032350277965,0.48013932364327566,0.27559302534375874,0.2730868543897356,0.24384597369602748,0.6121531895228794,0.26686738218579975,0.2677153859819685,0.23879855019705637,31.408334732055664,31.191667556762695,31.625,31.600000381469727,27.741666793823242,27.950000762939453,28.350000381469727,28.133333206176758,24.133333206176758,24.76666831970215,25.125,24.70833396911621,0.6566043682952425,20.911500549316408,20.502166748046875,19.48800048828125,20.077667236328125,20.911500549316408,20.502166748046875,3.5500001907348633,3.4250001907348633,3.4833333492279053,3.549999952316284,32891.32387,103603.8678,32872.98429,1335.8333333333333,1041.4166666666667,1475.5,1045.0,1204.25,1389.3333333333333,1003.25,0.8808026172401449,0.0,1.0,1.0,27.817331949869793,24.884000142415363,27.110000610351562,27.94566599527995,26.960001627604168,25.146998087565105,26.133333841959637,28.05633290608724,27.291666666666668,27.019999186197918,26.391998291015625,25.665334065755207,64.39622641509433,15.21832884097035,51.458522345430104,58.468697496639784,66.47305002520162,74.92552923387096,141144.875,160173.75,181419.0625,203171.015625,444.34657176549865,504.2505053908356,571.1316964285714,639.6076482479784,10.921666145324707,12.139999389648438,14.310832977294922,12.196666717529297
GH201400000003,GHGE71FL,GH,2014.0,3.0,GH2014DHS,98855.9375,112389.2890625,126680.328125,89.13333892822266,97.26667022705078,109.875,88.55000305175781,28.0,31.97808265686035,35.635135650634766,27.671875,0.3673557134775015,0.9797125596266526,0.9918150534996619,30.469999313354492,31.072500228881836,31.635454177856445,34.04249954223633,9.716667175292969,9.066666603088379,9.27500057220459,9.466667175292969,-9999,3482.0,3364.0,3342.0,3339.0,3067.0,2814.0,2757.0,0.0,0.0,0.0,0.0,76.66666666666667,1230.05810546875,12,0.3396033048629761,0.03239658568106464,0.06357956105274312,0.28061442495879224,25.30545425415039,25.902915954589844,26.63522720336914,27.730417251586914,0.5483624140421549,1198.6423177083334,7.714196268717448,0.5764325459798177,9.874663289388021,0.25318241119384766,0.2173449993133545,0.2212044596672058,0.15682026743888855,0.21355019509792328,0.16719679534435272,0.1737571656703949,0.11763118207454681,31.666667938232422,31.608333587646484,32.05833435058594,31.983333587646484,26.783334732055664,27.058334350585938,27.40833282470703,27.233333587646484,21.950000762939453,22.54166603088379,22.78333282470703,22.516666412353516,7.059045199690194,21.635000228881836,21.418333053588867,20.14090919494629,20.733333587646484,21.635000228881836,21.418333053588867,3.183333396911621,3.0416667461395264,3.0833332538604736,3.200000047683716,155388.428,6335.621556,33814.2888,1512,1161,1380,1150,1269,1368,1065,0.37421817779541017,3.0,3.0,3.0,27.461000442504883,24.525999069213867,26.284000396728516,27.650999069213867,26.476999282836914,24.878999710083008,25.832000732421875,27.71700096130371,26.88599967956543,26.65399932861328,25.86400032043457,25.152999877929688,10.066666666666666,0.0,910.037109375,1034.0109375,1175.5669270833334,1325.0477864583333,44494.34375,57351.9375,74015.4375,94523.65625,3470.9515625,4473.955208333334,5773.8515625,7373.670833333334,13.908332824707031,14.018332481384277,16.857500076293945,13.869166374206543
GH201400000004,GHGE71FL,GH,2014.0,4.0,GH2014DHS,6293.5625,7155.150390625,8064.97412109375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0034276292874262882,0.01494634266083057,0.5906996360191932,33.397274017333984,30.241666793823242,30.513334274291992,27.790000915527344,-9999,-9999,-9999,-9999,-9999,1334,1612,1419,2330,2964,3000,2936,-9999,-9999,-9999,-9999,32.0,1369.4129638671875,-9999,-9999,0.028762641279998395,0.08339250959676586,0.5054699237798368,26.98272705078125,25.579166412353516,26.300832748413086,24.663333892822266,6.2158083234514505,1094.1998465401787,15.379416329520089,3.3003948756626675,27.470901489257812,0.3788541853427887,0.17256218194961548,0.1924740970134735,0.1880970448255539,0.4122646749019623,0.12595856189727783,0.14902684092521667,0.1567477136850357,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.842864472987288,22.088333129882812,21.536666870117188,20.56818199157715,20.91666603088379,22.088333129882812,21.536666870117188,-9999,-9999,-9999,-9999,3391.660987,95470.79981,3416.294201,973,803,1178,794,985,1211,866,0.10269444329398018,0.0,0.0,3.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,116.92857142857143,0.0,45.111775716145836,51.257328287760416,58.27445068359375,65.68441975911459,5487.5478515625,6520.5068359375,7699.21484375,8951.939453125,457.59521484375,543.7315150669643,642.0216238839286,746.4836077008929,-9999,-9999,-9999,-9999
GH201400000005,GHGE71FL,GH,2014.0,5.0,GH2014DHS,50547.25390625,57581.09375,65138.0546875,78.875,86.5250015258789,87.23333740234375,77.16667175292969,17.96015167236328,20.200387954711914,20.93600082397461,17.77351188659668,0.0006165879603011159,0.001126340498177769,0.0015489858941148264,35.44127197265625,35.10413818359375,35.809686279296876,36.326788330078124,12.741666793823242,11.966667175292969,12.300000190734863,12.199999809265137,5.0,2202.3,2209.6,2299.8,2402.1,2614.2,2488.7,2596.7,0.0,0.0,0.0,0.0,27.567204301075268,1012.447265625,7.0,0.0,0.1493504417699484,0.214207043953653,0.6256319780939711,28.661639404296874,28.596484375,29.02301025390625,29.479977416992188,6.661890829763105,74.23645413306451,19.097330729166668,0.4499848888766381,28.298114079301076,0.603400434766497,0.6574909346444267,0.6886568750653949,0.2856609991618565,0.6532721519470215,0.7748932838439941,0.8709605761936733,0.22705350603376115,34.65833282470703,34.891666412353516,34.91666793823242,34.80833435058594,28.258333206176758,28.875,28.741666793823242,28.683334350585938,21.916667938232422,22.92500114440918,22.616666793823242,22.608333587646484,0.058753130348231083,22.236334228515624,22.63316650390625,21.881999206542968,22.088833618164063,22.236334228515624,22.63316650390625,4.391666889190674,4.2833333015441895,4.166666507720947,4.3416666984558105,3324.181821,24549.89821,175885.6569,927.8181818181819,867.1818181818181,933.2727272727273,1040.8181818181818,970.4545454545455,1110.3636363636363,960.6363636363636,0.7027796263335854,0.0,0.0,0.0,31.02919921875,25.2156005859375,26.90379943847656,29.247601318359376,27.14119873046875,25.753399658203126,26.99119873046875,31.21520080566406,29.415802001953125,27.9343994140625,27.207598876953124,25.7260009765625,297.46505376344084,47.44892473118279,19.730066636029413,22.457939923128343,25.58221402907754,28.93792300300802,27323.423828125,32187.84375,37604.35546875,43225.078125,86.82208186323925,102.27910786290323,119.49043388776882,137.35059643817203,7.855833053588867,8.645833015441895,8.324166297912598,7.354999542236328
GH201400000006,GHGE71FL,GH,2014.0,6.0,GH2014DHS,106310.125,120863.953125,136232.59375,89.13333892822266,97.26667022705078,109.875,88.55000305175781,28.0,31.97808265686035,35.635135650634766,27.671875,0.542576423058143,0.8531228579007663,0.9093158428485577,28.787776947021484,28.424999237060547,30.357999801635742,32.20000076293945,9.716667175292969,9.066666603088379,9.27500057220459,9.466667175292969,-9999,2665.0,2571.0,2646.0,2674.0,2578.0,2423.0,2398.0,0.0,0.0,0.0,0.0,70.26666666666667,1230.05810546875,12,0.3396033048629761,0.026919075590047074,0.056482262725118915,0.26327064941019274,24.004343032836914,24.24250030517578,25.623167037963867,26.486665725708008,0.0,0.0,0.0,0.0,0.0,0.24456886947155,0.20599481463432312,0.21795028448104858,0.15299804508686066,0.20292961597442627,0.15381212532520294,0.16961967945098877,0.11335144937038422,31.666667938232422,31.608333587646484,32.05833435058594,31.983333587646484,26.783334732055664,27.058334350585938,27.40833282470703,27.233333587646484,21.950000762939453,22.54166603088379,22.78333282470703,22.516666412353516,7.604893651501886,20.888334274291992,20.773332595825195,19.220909118652344,20.059999465942383,20.888334274291992,20.773332595825195,3.183333396911621,3.0416667461395264,3.0833332538604736,3.200000047683716,161236.7119,12101.41063,28726.33151,1501.0,1118.0,1362.0,1131.0,1227.0,1367.0,1038.0,0.3806428591410319,3.0,3.0,3.0,27.461000442504883,24.525999069213867,26.284000396728516,27.650999069213867,26.476999282836914,24.878999710083008,25.832000732421875,27.71700096130371,26.88599967956543,26.65399932861328,25.86400032043457,25.152999877929688,7.066666666666666,0.0,951.47412109375,1081.093052455357,1229.094447544643,1385.3816964285713,52867.3046875,68961.59375,89692.0703125,115119.734375,4123.97890625,5379.432291666667,6996.536979166666,8980.051041666668,13.908332824707031,14.018332481384277,16.857500076293945,13.869166374206543
GH201400000007,GHGE71FL,GH,2014.0,7.0,GH2014DHS,46588.8515625,52966.859375,59701.9375,85.23333740234375,94.19166564941406,119.58333587646484,82.51667022705078,26.63541603088379,29.902116775512695,37.272727966308594,25.455013275146484,0.0076578236833403385,0.010874447943289069,0.014870761316033859,27.828793334960938,27.17779541015625,27.333441162109374,27.46158447265625,7.525000095367432,6.625,6.675000190734863,7.266666889190674,-9999,4076.8,4112.7,4201.1,4179.6,4512.9,4722.8,4702.4,0.0,0.0,0.0,0.0,27.460490463215258,1176.3252604166667,11.0,0.0,0.024565791073226522,0.09669490843315322,0.5572499395333567,23.206214904785156,23.312397766113282,23.730802917480467,23.599209594726563,0.5704498291015625,77.56729258661684,5.19536424719769,1.7495236604110054,7.345055621603261,0.5442335946219308,0.43598079681396484,0.5419385092599052,0.4102241652352469,0.6494955335344587,0.4742927551269531,0.6467710222516742,0.44238907950265066,30.625,30.350000381469727,30.84166717529297,30.858333587646484,26.83333396911621,27.016666412353516,27.46666717529297,27.191667556762695,23.100000381469727,23.725000381469727,24.166667938232422,23.59166717529297,0.0720482492834572,20.12816619873047,19.73683319091797,18.583636474609374,19.447000122070314,20.12816619873047,19.73683319091797,3.200000047683716,3.1500000953674316,3.2083332538604736,3.241666793823242,33907.21131,14176.05988,33907.22659,1425.0,1166.0,1469.75,1201.0833333333333,1410.4166666666667,1619.6666666666667,1100.4166666666667,0.5476811035819675,0.0,0.0,0.0,27.440500259399414,24.559249877929688,26.781749725341797,27.404251098632812,26.519001007080078,25.07524871826172,25.997249603271484,27.5677490234375,27.19675064086914,26.799999237060547,25.999500274658203,25.39299964904785,145.30978260869566,33.61141304347826,14.85855367909307,16.88272758152174,19.193968399711277,21.63460640285326,27957.966796875,32704.943359375,38047.4296875,43620.75390625,88.6912311056386,103.75001061480978,120.69792374320652,138.37808890964675,12.278332710266113,12.574166297912598,15.507499694824219,12.658332824707031
GH201400000008,GHGE71FL,GH,2014.0,8.0,GH2014DHS,134527.390625,152944.15625,172392.0,89.13333892822266,97.26667022705078,109.875,88.55000305175781,28.0,31.97808265686035,35.635135650634766,27.671875,0.8006150172306941,0.965029423053448,0.9737538557786208,30.469999313354492,31.072500228881836,31.635454177856445,34.04249954223633,9.716667175292969,9.066666603088379,9.27500057220459,9.466667175292969,-9999,3482,3364,3342,3339,3067,2814,2757,0.0,0.0,0.0,0.0,77.25,1230.05810546875,12.0,0.3396033048629761,0.03239658568106464,0.06357956105274312,0.28061442495879224,25.30545425415039,25.902915954589844,26.63522720336914,27.730417251586914,0.14251125653584798,385.5766927083333,1.3706738789876303,0.058165864149729414,1.8956001281738282,0.25318241119384766,0.2173449993133545,0.2212044596672058,0.15682026743888855,0.21355019509792328,0.16719679534435272,0.1737571656703949,0.11763118207454681,31.666667938232422,31.608333587646484,32.05833435058594,31.983333587646484,26.783334732055664,27.058334350585938,27.40833282470703,27.233333587646484,21.950000762939453,22.54166603088379,22.78333282470703,22.516666412353516,13.488719019396552,21.635000228881836,21.418333053588867,20.14090919494629,20.733333587646484,21.635000228881836,21.418333053588867,3.183333396911621,3.0416667461395264,3.0833332538604736,3.200000047683716,157052.9788,7679.561999,31308.15812,1512.0,1161.0,1380.0,1150.0,1269.0,1368.0,1065.0,0.3343134562174479,3.0,3.0,3.0,27.461000442504883,24.525999069213867,26.284000396728516,27.650999069213867,26.476999282836914,24.878999710083008,25.832000732421875,27.71700096130371,26.88599967956543,26.65399932861328,25.86400032043457,25.152999877929688,11.533333333333333,0.0,1017.4949776785714,1156.1077706473213,1314.378627232143,1481.5103236607142,62169.0625,81859.1796875,107107.890625,138000.84375,4849.4984375,6385.427083333333,8354.953125,10764.75625,13.908332824707031,14.018332481384277,16.857500076293945,13.869166374206543
GH201400000009,GHGE71FL,GH,2014.0,9.0,GH2014DHS,1984.0859375,2255.70703125,2542.53466796875,86.55000305175781,98.375,119.125,85.03333282470703,28.14634132385254,32.97486114501953,38.95095443725586,27.21066665649414,0.21715348958969116,0.37065446376800537,0.430264671643575,27.040000915527344,26.52166748046875,27.268333435058594,27.591999053955078,8.600000381469727,7.7833333015441895,7.900000095367432,8.27500057220459,-9999,3836.0,3750.0,3966.0,4108.0,4288.0,4355.0,4336.0,0.0,0.0,0.0,0.0,57.46666666666667,1176.3251953125,12,0.0,0.0757454630300656,0.15265059787934387,0.6145106862730756,22.995908737182617,23.065834045410156,23.829166412353516,23.603500366210938,0.8408501942952474,164.083984375,10.073783365885417,2.0124827067057294,9.663853963216146,0.46887218952178955,0.35188108682632446,0.4417325258255005,0.30551373958587646,0.5178831815719604,0.34524598717689514,0.46991679072380066,0.2915208339691162,31.241666793823242,31.058334350585938,31.533334732055664,31.45833396911621,26.924999237060547,27.141666412353516,27.566667556762695,27.316667556762695,22.641666412353516,23.275001525878906,23.633333206176758,23.183334350585938,1.9816386781889817,20.389999389648438,19.614999771118164,18.951818466186523,19.610000610351562,20.389999389648438,19.614999771118164,3.075000047683716,2.9833333492279053,3.058333396911621,3.125,59153.31558,22246.94589,59153.30321,1587,1310,1494,1244,1531,1707,1237,1.0458864212036132,2.0,2.0,3.0,27.138999938964844,24.331998825073242,26.4060001373291,27.149999618530273,26.23900032043457,24.792999267578125,25.704999923706055,27.222000122070312,26.930999755859375,26.52400016784668,25.836000442504883,25.214000701904297,98.46666666666667,0.06666666666666667,18.70591023763021,21.254207356770834,24.16390380859375,27.2364990234375,1416.3555908203125,1644.32763671875,1896.987060546875,2154.99267578125,110.26870930989584,128.0172119140625,147.68771158854167,167.77444661458333,13.57249927520752,14.210000038146973,16.88249969482422,14.260832786560059
GH201400000010,GHGE71FL,GH,2014.0,10.0,GH2014DHS,20685.00390625,23516.77734375,26507.08984375,94.65833282470703,95.79167175292969,113.13333129882812,82.0250015258789,23.813417434692383,25.773542404174805,30.50786590576172,21.167741775512695,7.974021969892727e-05,0.0002697690750082461,0.000351678591947586,30.43818359375,30.77230224609375,30.8582275390625,32.3288330078125,11.458333969116211,10.675000190734863,10.975000381469727,10.891666412353516,5.0,2796.7,2733.1,2842.4,2944.6,3148.9,3168.4,3168.6,0.0,0.0,0.0,0.0,30.648936170212767,1009.3373413085938,9.0,0.0,0.16232714784301247,0.25891731941446966,0.7916391244661523,25.82054443359375,26.052401733398437,26.276779174804688,27.0885009765625,36.4814453125,87.28436668882979,142.96033494015958,17.539076784823802,104.3832384474734,0.6306790669759115,0.57783997853597,0.6023203531901041,0.39878485997517904,0.7908019383748373,0.6872709274291993,0.7453131357828776,0.3961369514465332,33.633331298828125,33.65833282470703,33.983333587646484,33.900001525878906,27.866666793823242,28.291667938232422,28.45833396911621,28.433334350585938,22.17500114440918,22.983333587646484,23.008333206176758,23.008333206176758,0.012037356587864409,21.695333862304686,21.848165893554686,21.202908325195313,21.332499694824218,21.695333862304686,21.848165893554686,3.9750001430511475,3.7166666984558105,3.7083334922790527,3.875,26155.96133,50905.49053,169.9913982,1558.8,1269.9,1416.3,1345.6,1193.2,1592.4,1191.3,0.32950941045233545,0.0,0.0,0.0,29.640750885009766,25.92650032043457,27.401500701904297,29.82925033569336,27.942501068115234,26.26074981689453,27.164749145507812,30.38250160217285,28.59950065612793,28.12649917602539,27.417247772216797,26.624000549316406,284.9095744680851,33.97074468085106,7.2627363334180215,8.252135734247968,9.38185049330962,10.574814214939025,16308.69140625,20080.99609375,24618.98828125,29778.04296875,51.886069439827125,63.89557534075798,78.34445644946808,94.77312583111703,10.348333358764648,10.852499961853027,11.789166450500488,10.045833587646484
