DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
ZM201300000001,ZMGE61FL,ZM,2013.0,1.0,ZM2013DHS,70426.4609375,81384.03125,94800.4140625,83.49166870117188,60.483333587646484,91.125,24.608333587646484,23.463699340820312,15.026915550231934,24.62837791442871,6.2563557624816895,0.3926833016531808,0.47491254125322613,0.6935817854745048,31.083999633789062,32.91666793823242,30.99333381652832,32.275001525878906,11.858333587646484,13.991666793823242,12.666666984558105,14.074999809265137,5.0,2448.0,2677.0,2756.0,2780.0,2916.0,3033.0,2996.0,0.003333333181217313,0.0,0.0,0.014166666194796562,68.07142857142857,1592.2298583984375,7,0.0,0.02007842797197524,0.20854659638278072,0.4413052694336736,23.68899917602539,25.259166717529297,24.16666603088379,24.844165802001953,4.257986886160714,22.908246721540177,3.271941593715123,0.1565917900630406,0.06912515844617571,0.3019433319568634,0.17642678320407867,0.03961901739239693,0.10492241382598877,0.25901561975479126,0.1139642670750618,0.019976673647761345,0.06013158708810806,27.450000762939453,29.92500114440918,28.700000762939453,29.191667556762695,21.491666793823242,22.90833282470703,22.34166717529297,22.133333206176758,15.591667175292969,15.933333396911621,16.03333282470703,15.116666793823242,27.403499348958334,17.34000015258789,17.413333892822266,16.29400062561035,17.601667404174805,17.34000015258789,17.413333892822266,3.558333396911621,4.025000095367432,3.700000047683716,3.933333396911621,97740.53261,72446.78275,128262.0867,822.0,810.0,525.0,928.0,588.0,1002.0,665.0,0.8277496610369001,3.0,3.0,3.0,20.21700096130371,18.68199920654297,21.77899932861328,21.472000122070312,21.586999893188477,16.07699966430664,16.031999588012695,21.2189998626709,18.232999801635742,23.54599952697754,24.326000213623047,22.586999893188477,14.642857142857142,0.0,788.7055989583333,897.3689453125,1036.9895182291666,1207.9401041666667,36884.73046875,47640.1953125,62176.57421875,81331.046875,3175.113839285714,4100.978515625,5352.319754464285,7001.207589285715,7.169166564941406,5.239166736602783,7.027499675750732,3.1374998092651367
ZM201300000002,ZMGE61FL,ZM,2013.0,2.0,ZM2013DHS,45900.01953125,53230.82421875,62117.296875,79.93333435058594,62.72500228881836,62.108333587646484,58.70000076293945,22.78384780883789,16.25701904296875,17.17281150817871,16.38139533996582,0.010944733484310307,0.01896356558574111,0.02701166977265656,29.82010226779514,30.237779405381943,30.555372450086807,29.98425971137153,12.141666412353516,12.358333587646484,12.133333206176758,11.875,7.0,2655.5555555555557,2762.3333333333335,2937.3333333333335,2940.4444444444443,3221.6666666666665,3013.222222222222,3087.5555555555557,0.004999999888241291,0.0,0.0,0.0,36.6,854.0411551339286,8.0,0.0,0.13687753319233406,0.37897110259641453,0.7869032818150781,22.44717068142361,23.025867038302952,23.1875,22.990159776475693,4.716294737119933,14.075597814611486,1.7125039590371622,0.9216726767050253,0.05512844807392842,0.42665831247965497,0.26128986676534016,0.09225296974182129,0.10213974316914877,0.39342673619588214,0.19004605611165365,0.050695598125457764,0.057543706893920896,26.400001525878906,27.350000381469727,26.900001525878906,26.608333587646484,20.30000114440918,21.150001525878906,20.799999237060547,20.65833282470703,14.258333206176758,14.991666793823242,14.766667366027832,14.733333587646484,0.6767161789760795,15.819629245334202,15.99605984157986,15.074242485894096,15.813956366644966,15.819629245334202,15.99605984157986,3.508333444595337,3.8583333492279053,3.616666793823242,3.5833334922790527,6432.091218,144487.7618,98812.81557,1005.8,809.8,953.4,987.6,752.2,800.4,971.8,0.48414009712837835,0.0,0.0,0.0,20.549251556396484,19.425249099731445,20.983501434326172,21.11924934387207,20.617000579833984,18.487751007080078,19.068500518798828,20.91925048828125,19.302749633789062,22.17650032043457,22.61949920654297,21.12725067138672,246.04594594594596,19.805405405405406,19.270777925531913,21.984226957280587,25.48019084524601,29.72501454454787,19679.482421875,24042.529296875,29646.0390625,36422.7734375,62.631561444256754,76.51737753378379,94.35106630067567,115.91864442567568,9.519165992736816,8.019999504089355,8.40999984741211,8.521666526794434
ZM201300000003,ZMGE61FL,ZM,2013.0,3.0,ZM2013DHS,2915.491455078125,3369.109375,3924.5166015625,94.30833435058594,69.7750015258789,66.43333435058594,64.125,28.15174102783203,18.361841201782227,18.757646560668945,18.021076202392578,2.2570617285436636e-05,0.00012364920099450962,0.0006538006221458363,27.16008134321733,28.342573686079547,28.001209605823863,28.208634810014203,12.341667175292969,13.050000190734863,12.583333015441895,12.466667175292969,5.0,3037.2727272727275,3034.3636363636365,3181.181818181818,3177.4545454545455,3385.3636363636365,3273.181818181818,3311.5454545454545,0.049166664481163025,0.004999999888241291,0.0,0.0,14.85904255319149,924.5196010044643,7.0,0.0,0.12573238180183205,0.3362596908035295,0.7934641786078411,21.22281161221591,22.104181463068183,21.924847689541902,21.97075722434304,0.08294645182291667,12.755864583333333,0.13634908040364582,0.392357666015625,0.0020289201736450194,0.4651965796947479,0.3720320165157318,0.11177879571914673,0.2132108062505722,0.4394281804561615,0.3119438588619232,0.06322789937257767,0.14916186034679413,26.40833282470703,27.825000762939453,27.316667556762695,27.041667938232422,20.20833396911621,21.266666412353516,20.991666793823242,20.80000114440918,14.066666603088379,14.77500057220459,14.733333587646484,14.575000762939453,0.0051540605853173695,15.848485773259943,15.732876864346592,15.285537719726562,15.865785078568893,15.848485773259943,15.732876864346592,3.3500001430511475,3.799999952316284,3.5416667461395264,3.558333396911621,187617.935,34830.25396,110023.5555,1306.4545454545455,863.3636363636364,944.7272727272727,1211.8181818181818,910.8181818181819,1234.2727272727273,1057.909090909091,0.8240315755208333,1.0,0.0,0.0,19.336750030517578,17.298749923706055,19.786998748779297,19.516498565673828,19.48175048828125,15.690750122070312,15.833000183105469,19.64750099182129,17.70400047302246,21.332500457763672,21.921001434326172,20.225749969482422,354.2133333333333,30.36,1.344073829957691,1.5292526940557976,1.7671873690934987,2.0585129152354225,2724.4306640625,3306.271240234375,4057.36669921875,4981.8291015625,8.623114583333333,10.464665364583333,12.841919270833333,15.767890625,7.758333206176758,6.181666374206543,6.747499942779541,6.579166412353516
ZM201300000004,ZMGE61FL,ZM,2013.0,4.0,ZM2013DHS,41929.15234375,48452.86328125,56440.44921875,100.57500457763672,72.60833740234375,85.90833282470703,91.2249984741211,29.653562545776367,18.94130516052246,24.313678741455078,25.577102661132812,0.0018580478580692147,0.005046498171890838,0.007167536246625683,28.2825439453125,29.444000244140625,29.150332641601562,29.10816650390625,12.183333396911621,13.0,12.041666984558105,12.383333206176758,5.0,2860.1,2877.5,3027.5,3019.3,3251.3,3168.5,3179.6,0.01249999925494194,0.0,0.0,0.0,23.653333333333332,924.5196614583333,8.0,0.0,0.1193356293198257,0.3324891455155943,0.7858424578272102,21.743272399902345,22.551181030273437,22.58641662597656,22.37177276611328,0.11064820353190104,17.3123671875,0.16325815836588542,0.45558223470052084,0.003260555903116862,0.44867461919784546,0.3601177930831909,0.11129076778888702,0.2122935950756073,0.41231396794319153,0.2958785891532898,0.0624355748295784,0.14618517458438873,26.891666412353516,28.358333587646484,27.59166717529297,27.575000762939453,20.774999618530273,21.83333396911621,21.55000114440918,21.358333587646484,14.708333015441895,15.358333587646484,15.550000190734863,15.191667556762695,0.34018602637889067,16.022500610351564,15.635379028320312,15.203999328613282,15.658363342285156,16.022500610351564,15.635379028320312,3.3916666507720947,3.8333334922790527,3.5333333015441895,3.566666841506958,178556.8343,40031.30142,103969.148,1136.6,760.1,850.0,1078.9,844.1,1141.6,940.6,1.1469554036458334,0.0,0.0,0.0,19.381999969482422,17.63599967956543,19.778499603271484,19.501251220703125,19.541248321533203,15.983750343322754,16.07349967956543,19.690250396728516,17.896499633789062,21.293750762939453,22.038249969482422,20.643749237060547,257.888,13.866666666666667,19.092095770118732,21.72249391903034,25.102268510883906,29.240448239610817,4711.4189453125,5888.85546875,7382.80517578125,9205.3515625,14.919516927083333,18.648069010416666,23.378921875,29.150322916666667,7.788333415985107,6.013333320617676,7.264999866485596,7.769166469573975
ZM201300000005,ZMGE61FL,ZM,2013.0,5.0,ZM2013DHS,15691.5546875,18132.986328125,21122.2578125,82.60833740234375,60.22500228881836,90.20000457763672,25.041667938232422,23.324705123901367,14.962733268737793,24.106904983520508,6.339662551879883,0.0015627812048432173,0.0034688627643949667,0.013797945277706074,30.68472900390625,33.557168579101564,30.74716796875,31.91300048828125,11.791666984558105,13.899999618530273,12.65000057220459,13.966667175292969,5.0,2721.3,2781.3,2743.8,2887.4,2920.7,3027.9,2933.8,0.003333333181217313,0.0,0.0,0.009999999776482582,32.32804232804233,1592.2299107142858,7.0,4.923159599304199,0.07781571895821182,0.345202950548371,0.7021884393682498,22.31456298828125,24.412750244140625,23.063334655761718,23.463417053222656,17.343328889715607,123.9158916170635,10.599389777612434,0.5592391402633102,0.2897970209676753,0.2858515466962542,0.15152197224753244,0.04403979437691825,0.09625117267881121,0.27362397738865446,0.10952574866158622,0.025692079748426164,0.06426360777446202,27.416667938232422,29.850000381469727,28.700000762939453,29.141666412353516,21.475000381469727,22.875,22.350000381469727,22.141666412353516,15.625,15.949999809265137,16.049999237060547,15.175000190734863,0.3982236369721699,15.379498291015626,15.013833618164062,13.944400024414062,15.268331909179688,15.379498291015626,15.013833618164062,3.5416667461395264,4.025000095367432,3.741666793823242,3.950000047683716,73136.07336,55729.90331,126661.7202,847.5555555555555,841.6666666666666,545.8888888888889,992.2222222222222,636.8888888888889,975.5555555555555,727.3333333333334,0.8411258112185847,0.0,0.0,0.0,20.685501098632812,18.81974983215332,22.546001434326172,22.13650131225586,22.211750030517578,16.10675048828125,16.286998748779297,21.829750061035156,18.487751007080078,24.17224884033203,24.73550033569336,22.714500427246094,80.86507936507937,28.574074074074073,6.642819053248355,7.5580283717105265,8.733973452919408,10.173792788856908,13594.18359375,15906.001953125,18660.390625,21767.234375,43.4102130869709,50.79251922123016,59.58809730489418,69.50915591931216,7.355000019073486,5.428333282470703,7.225832939147949,3.249166488647461
ZM201300000006,ZMGE61FL,ZM,2013.0,6.0,ZM2013DHS,12776.7861328125,14764.7099609375,17198.712890625,97.125,86.15833282470703,103.95000457763672,80.30000305175781,30.19430160522461,23.932870864868164,32.400001525878906,23.792593002319336,0.001203461957815737,0.0020772317727914633,0.004734430069359728,28.367777506510418,29.071482340494793,28.867960611979168,28.850555419921875,14.916666984558105,16.45833396911621,14.699999809265137,15.800000190734863,9.0,3151.0,3197.3333333333335,3234.5555555555557,3349.777777777778,3461.1111111111113,3325.222222222222,3347.222222222222,0.5525000095367432,0.375,0.2775000035762787,0.4391666352748871,23.190981432360743,1456.118861607143,8.0,0.23996132612228394,0.1451063145662142,0.4238288418741448,0.8712337973010132,21.474049886067707,22.20101759168837,22.272130330403645,22.032080756293404,1.4275765254579742,179.7988022214854,7.468551838113395,1.6731057407369032,0.13018602528053505,0.388037109375,0.2804641087849935,0.1570717652638753,0.1551960309346517,0.3610073725382487,0.2179360071818034,0.0979576031366984,0.09962494373321533,28.166667938232422,30.258333206176758,28.825000762939453,29.183334350585938,20.683334350585938,22.0,21.441667556762695,21.258333206176758,13.25,13.800000190734863,14.125,13.383333206176758,0.02695902968591341,15.67629665798611,15.213602701822916,14.580320570203993,15.330556233723959,15.67629665798611,15.213602701822916,3.2166666984558105,3.6000001430511475,3.2083332538604736,3.375,55311.7794,161233.6573,188305.7886,1242.2222222222222,1121.5555555555557,1052.2222222222222,1354.111111111111,1090.111111111111,1360.111111111111,1099.888888888889,0.9242017831979443,0.0,0.0,1.0,19.893749237060547,17.642250061035156,20.447999954223633,20.50400161743164,20.39324951171875,14.85949993133545,14.73449993133545,20.71875,17.38800048828125,21.7135009765625,22.656999588012695,21.39150047302246,121.14588859416446,45.46949602122016,4.730670346012064,5.3824351620098865,6.219881032171582,7.245245475871314,17148.6796875,19427.875,22069.4140625,24928.419921875,54.21439302884615,61.419906332891244,69.77092485908489,78.80944338527851,8.797499656677246,7.518333435058594,8.918333053588867,8.270833015441895
ZM201300000007,ZMGE61FL,ZM,2013.0,7.0,ZM2013DHS,300.836181640625,347.6429443359375,404.95281982421875,61.19166564941406,48.66666793823242,67.75833129882812,45.18333435058594,16.575620651245117,12.041236877441406,18.109130859375,11.202479362487793,0.0014821138625708632,0.0044656927212358664,0.008713422111048105,32.851819356282554,34.380279541015625,31.040695190429688,33.89625040690104,15.091667175292969,16.391666412353516,15.616666793823242,17.20833396911621,5.0,2578.8333333333335,2642.75,2703.4166666666665,2785.5,2979.25,3026.8333333333335,2950.8333333333335,0.1158333271741867,0.17000000178813934,0.14666666090488434,0.38499999046325684,19.906735751295336,3064.485595703125,6.0,1.203717549641927,0.08500148881711063,0.3669051521318106,0.4299698492010233,25.02374267578125,26.4290288289388,24.43354034423828,26.225418090820312,7.046778861722798,14.701564017972798,0.7861048248765382,0.17325348928184706,0.3024983776665722,0.1283443530400594,0.08520506223042806,0.0501107374827067,0.047518984476725264,0.1074608325958252,0.06215722560882568,0.03280601898829142,0.03210706313451131,30.575000762939453,32.57500076293945,31.483333587646484,32.208335876464844,23.008333206176758,24.358333587646484,23.65833282470703,23.58333396911621,15.483333587646484,16.183334350585938,15.866666793823242,15.0,0.0,17.826388041178387,18.554583231608074,17.195667266845703,18.477776845296223,17.826388041178387,18.554583231608074,3.691666603088379,4.0416669845581055,3.741666793823242,4.0333333015441895,16652.61586,35995.07601,312765.0379,562.0833333333334,643.0,494.6666666666667,709.4166666666666,567.6666666666666,751.9166666666666,490.8333333333333,1.4625111318005182,0.0,0.0,0.0,22.184666951497395,19.238666534423828,23.70733133951823,23.499000549316406,23.968668619791668,15.832667032877604,16.222333272298176,23.477333068847656,18.8663330078125,25.642333984375,26.506001790364582,23.78833516438802,455.73056994818654,179.52072538860102,0.11829181003819558,0.134589372042265,0.15552998834116963,0.18116951486771785,845.0244140625,999.036376953125,1184.2547607421875,1395.836669921875,2.7796864880181347,3.2863048494170983,3.895576121275907,4.591569811568976,6.069999694824219,6.1508331298828125,6.356666564941406,5.511666774749756
ZM201300000008,ZMGE61FL,ZM,2013.0,8.0,ZM2013DHS,51546.37109375,59566.40625,69386.1015625,83.49166870117188,60.483333587646484,91.125,24.608333587646484,23.463699340820312,15.026915550231934,24.62837791442871,6.2563557624816895,0.25141178644620454,0.33548659544724685,0.577706190255972,30.736000061035156,32.45500183105469,31.06833267211914,32.38833236694336,11.858333587646484,13.991666793823242,12.666666984558105,14.074999809265137,5,2339,2345,2362,2644,2742,2757,2640,0.003333333181217313,0.0,0.0,0.014166666194796562,71.73333333333333,1592.2298583984375,7,0.0,0.02330477885347976,0.22015269134074816,0.4664139590646946,23.459999084472656,24.948333740234375,24.137500762939453,25.022499084472656,1.910137685139974,59.91334635416667,5.286134338378906,0.053891777992248535,0.06082304318745931,0.317067950963974,0.19411955773830414,0.04376453161239624,0.11300355941057205,0.2762413024902344,0.13000407814979553,0.02220369502902031,0.0654391199350357,27.450000762939453,29.92500114440918,28.700000762939453,29.191667556762695,21.491666793823242,22.90833282470703,22.34166717529297,22.133333206176758,15.591667175292969,15.933333396911621,16.03333282470703,15.116666793823242,20.220868510584676,17.206666946411133,17.656665802001953,16.18400001525879,17.441667556762695,17.206666946411133,17.656665802001953,3.558333396911621,4.025000095367432,3.700000047683716,3.933333396911621,97771.31461,74828.72479,130715.7957,789,793,503,915,581,1005,661,0.9142634073893229,3.0,3.0,3.0,20.43899917602539,18.562000274658203,22.003999710083008,21.663000106811523,21.861000061035156,16.0310001373291,16.04599952697754,21.41699981689453,18.312000274658203,23.441999435424805,24.138999938964844,22.37299919128418,16.866666666666667,0.13333333333333333,623.9136067708333,709.8727864583333,820.32109375,955.5532552083333,63872.99609375,76907.4375,92847.8984375,111454.875,5131.257291666667,6178.383333333333,7458.964583333333,8953.7625,7.169166564941406,5.239166736602783,7.027499675750732,3.1374998092651367
ZM201300000009,ZMGE61FL,ZM,2013.0,9.0,ZM2013DHS,4149.904296875,4797.208984375,5588.7060546875,76.79167175292969,69.4000015258789,81.16667175292969,90.67500305175781,21.682353973388672,18.14379119873047,21.359649658203125,25.363636016845703,0.0009279453906769189,0.001144549907586826,0.0017913326668663146,29.96087900797526,29.136667887369793,28.70958201090495,27.917086283365887,13.125,13.341667175292969,13.391667366027832,12.800000190734863,2.0,2961.5,2837.8333333333335,3125.0833333333335,3264.6666666666665,3407.3333333333335,3302.5833333333335,3250.75,0.0,0.0,0.0,0.0,29.94101876675603,748.33125,9.0,0.6610114574432373,0.24019666129794495,0.5287422137704827,0.983618386884236,23.646835327148438,23.729581197102863,23.58391825358073,22.925516764322918,0.011110191345214843,3.872826171875,0.16771988932291668,0.27086838785807293,0.002437230428059896,0.6435332298278809,0.5271874836512974,0.4853275162833078,0.2873649937765939,0.7588417870657784,0.507441690989903,0.4342102323259626,0.2207655906677246,30.441667556762695,31.63333511352539,31.150001525878906,30.66666603088379,23.850000381469727,24.941667556762695,24.424999237060547,24.233333587646484,17.316667556762695,18.29166603088379,17.758333206176758,17.866666793823242,0.027857263775848636,18.45825449625651,17.93395233154297,17.33279546101888,18.322500864664715,18.45825449625651,17.93395233154297,3.5416667461395264,3.825000047683716,3.799999952316284,3.575000047683716,8750.05747,43799.88889,10205.65691,1240.0,1146.9,1066.8,1175.4,1138.2,1130.2,1206.9,0.7367626953125,0.0,0.0,0.0,23.693500518798828,21.73525047302246,23.586498260498047,23.84575080871582,23.647249221801758,19.864500045776367,19.859500885009766,23.819751739501953,22.011249542236328,24.63974952697754,25.372249603271484,24.163000106811523,401.33866666666665,115.432,1.8993016118588655,2.1621247996454653,2.499433932097062,2.911842677904212,11417.21875,12798.255859375,14393.595703125,16106.9697265625,38.0663167537062,42.66871630727763,47.98658608490566,53.6997030828841,8.624166488647461,7.274166584014893,8.558333396911621,9.65999984741211
ZM201300000010,ZMGE61FL,ZM,2013.0,10.0,ZM2013DHS,13470.9052734375,15566.826171875,18133.0625,74.44166564941406,52.86666488647461,80.65833282470703,45.474998474121094,20.63048553466797,13.107438087463379,21.508888244628906,11.488420486450195,5.029779185289107e-05,0.00035162429389713697,0.0015946353006662812,30.80752008611506,33.77560702237216,31.478030118075285,33.56939419833097,13.233333587646484,15.325000762939453,14.008334159851074,15.616666793823242,5.0,2701.909090909091,2720.909090909091,2774.2727272727275,2952.6363636363635,3052.7272727272725,3043.909090909091,2916.818181818182,0.03749999776482582,0.05499999597668648,0.040833331644535065,0.2241666615009308,30.467362924281986,1000.8321707589286,7.0,0.0,0.029143377496464243,0.2577970872339971,0.5194938997623854,22.92694230513139,25.090756503018465,23.88121171431108,25.04128750887784,0.8373427428402415,11.616240259872715,0.18437509561643275,0.20339665026951084,0.0005664139908225355,0.47969430685043335,0.19866253435611725,0.055762629956007004,0.06916031241416931,0.4239022731781006,0.12314848601818085,0.027559896931052208,0.03505504131317139,28.524999618530273,30.941667556762695,29.616666793823242,30.25,21.883333206176758,23.241666793823242,22.59166717529297,22.416667938232422,15.291666984558105,15.616666793823242,15.608333587646484,14.633333206176758,0.00014881997697896142,16.284393310546875,16.51318220658736,15.046363136985086,16.40590875799006,16.284393310546875,16.51318220658736,3.6083333492279053,4.0333333015441895,3.75,3.9583334922790527,92008.20671,28501.46286,78765.11698,778.2,821.4,526.6,886.5,601.5,897.1,545.5,0.22743950188938072,0.0,0.0,0.0,20.81866709391276,18.875999450683594,22.664332071940105,22.17199961344401,22.338333129882812,15.86733373006185,15.916333516438803,21.8423334757487,18.337000528971355,24.47899881998698,25.218332926432293,22.92766571044922,222.25065274151436,39.765013054830284,6.302919846172481,7.171299660852713,8.287073416303295,9.653220006661822,15370.904296875,15988.001953125,16678.240234375,17304.0,48.60124632832898,50.552713976827675,52.73548670039165,54.71442558746736,6.396666526794434,5.443333148956299,6.138333320617676,5.124166488647461
