DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Ducks,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
ZM201800000001,ZMGE71FL,ZM,2018.0,1.0,ZM2018DHS,11450.2734375,13231.8076171875,15413.1064453125,94.22500610351562,60.72500228881836,80.63333129882812,68.69999694824219,26.052995681762695,14.260273933410645,20.413501739501953,17.283018112182617,0.0,0.0,2.5828994740070982e-05,30.25858154296875,32.6038330078125,31.115499877929686,32.187496948242185,11.925000190734863,13.466667175292969,12.616666793823242,12.991666793823242,5.0,3051.1,3042.8,3074.4,3238.9,3260.9,3335.2,3152.7,0.0,0.0,0.0,0.0,20.680628272251308,910.4229736328125,4.0,0.0,0.15717519819151834,0.4195273580045902,0.95324345606632,24.020591735839844,25.785250854492187,24.814166259765624,25.443757629394533,4.591988288919339,57.31350212696335,-1.0,1.1833283589148396,3.0653942168071007,1.9200640773273887,0.45111961364746095,0.236308224995931,0.28326632181803385,0.28781630198160807,0.4119112014770508,0.16244093577067056,0.20349191029866537,0.21060702006022136,28.59166717529297,30.541667938232422,29.933334350585938,29.858333587646484,22.600000381469727,23.78333282470703,23.59166717529297,23.34166717529297,16.666667938232422,17.075000762939453,17.316667556762695,16.866666793823242,0.0014472047146471304,17.78260040283203,18.96666717529297,18.512831115722655,18.700015258789062,3.616666793823242,4.258333206176758,3.950000047683716,3.9750001430511475,50846.44267515923,2901.886182108626,184662.49201277955,1192.6,834.4,777.8,920.8,708.4,1147.5,860.3,1.4125650615592278,0.0,0.0,0.0,21.884998321533203,19.974000930786133,23.023500442504883,22.544750213623047,22.61574935913086,17.74625015258789,17.882999420166016,22.483999252319336,20.137250900268555,24.82400131225586,25.46649932861328,23.323749542236328,229.9607329842932,64.33246073298429,5.405534224076704,6.150277693641377,7.1071920955882355,8.278832093917112,16588.375,18451.162109375,20577.90234375,22819.35546875,51.98197194044503,57.819264357002616,64.48370009816755,71.50761309718587,7.983333110809326,5.262499809265137,7.396666526794434,6.157500267028809
ZM201800000002,ZMGE71FL,ZM,2018.0,2.0,ZM2018DHS,5269.724609375,6089.634765625,7093.5283203125,100.98333740234375,85.29167175292969,114.4749984741211,79.66666412353516,29.62836265563965,21.916488647460938,33.26150131225586,21.876428604125977,0.000905186319962526,0.002654578250188094,0.007312956528785901,28.319818115234376,28.664166259765626,28.058831787109376,28.277166748046874,13.283333778381348,14.90000057220459,13.600000381469727,14.216667175292969,9.0,3136.5,3153.2,3309.4,3296.9,3499.6,3408.8,3402.0,0.08416666835546494,0.032499998807907104,0.005833333358168602,0.042500000447034836,22.618037135278513,1395.077392578125,4.0,0.0,0.13816193370879418,0.38592373714095307,0.7867099790580969,22.035446166992188,22.3975830078125,22.08316650390625,22.192416381835937,2.3708499340300864,231.1351604055851,-1.0,6.527896312957115,2.404163441759475,0.1680217499428607,0.4714651788984026,0.5277081898280552,0.2681662014552525,0.18984530653272355,0.4513350895472935,0.4951089450291225,0.19674617903573172,0.12663705008370535,27.625,29.78333282470703,28.641666412353516,28.75,20.96666717529297,22.316667556762695,21.816667556762695,21.616666793823242,14.341667175292969,14.883333206176758,15.041666984558105,14.533333778381348,0.008272867133147526,15.751072692871094,16.130999755859374,16.10749969482422,16.107666015625,3.4083333015441895,3.8916666507720947,3.441666603088379,3.641666889190674,25192.684126984128,5068.246044303797,84397.97444089457,1187.2,1134.3,1099.2,1343.8,896.3,1268.1,1046.7,0.8848829878137466,0.0,0.0,1.0,19.86600112915039,17.59575080871582,21.02975082397461,21.002750396728516,20.921001434326172,15.01550006866455,14.93600082397461,20.925500869750977,17.483749389648438,22.199501037597656,22.908000946044922,21.10650062561035,117.32712765957447,50.96010638297872,2.3040795833506484,2.621522294714096,3.029402063248005,3.5288069704745677,9896.6162109375,9698.6748046875,9635.1494140625,9639.849609375,31.46018949468085,30.830369015957448,30.62775307513298,30.641905439660903,8.908332824707031,6.967499732971191,9.172499656677246,7.860833168029785
ZM201800000003,ZMGE71FL,ZM,2018.0,3.0,ZM2018DHS,120.46021270751953,139.2024688720703,162.150390625,84.92500305175781,69.23333740234375,67.49166870117188,82.06666564941406,23.214122772216797,17.49052619934082,17.799999237060547,22.230247497558594,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.216667175292969,12.191666603088379,12.066666603088379,11.616666793823242,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,40.0,-9999,5,0.0,0.09461144450499112,0.3917437734166788,0.782147482921135,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,0.0,0.0,0.4463318884372711,0.37022820115089417,0.09340665489435196,0.09565525501966476,0.414657324552536,0.3044300079345703,0.05032629519701004,0.05305299162864685,28.408334732055664,29.291667938232422,28.825000762939453,28.391666412353516,22.274999618530273,23.166667938232422,22.774999618530273,22.558334350585938,16.191667556762695,17.100000381469727,16.758333206176758,16.774999618530273,0.13615292310714722,-9999,-9999,-9999,-9999,3.6583333015441895,3.9583334922790527,3.7916667461395264,3.691666841506958,-9999,7420.2744140625,3691.876953125,1097,1049,1263,1301,956,977,1167,0.6041045784950256,-9999,-9999,-9999,25.23699951171875,23.232999801635742,24.790000915527344,25.3439998626709,25.077999114990234,22.075000762939453,22.99799919128418,25.20599937438965,24.211000442504883,25.822999954223633,26.642000198364258,24.93600082397461,251.0,30.0,51.41307067871094,58.49647521972656,67.59786987304688,78.74156188964844,7.364523410797119,8.743435859680176,10.408199310302734,12.319448471069336,8.658914566040039,10.280184745788574,12.237547874450684,14.484719276428223,8.706665992736816,6.929999828338623,7.448333263397217,8.899999618530273
ZM201800000004,ZMGE71FL,ZM,2018.0,4.0,ZM2018DHS,21211.330078125,24511.57421875,28552.375,90.26667022705078,70.0250015258789,104.125,59.849998474121094,25.3676815032959,17.361570358276367,29.125873565673828,15.715536117553711,0.4121207169124058,0.4246727398463658,0.4722842148372105,31.24799919128418,32.7216682434082,30.168333053588867,31.969999313354492,12.783333778381348,14.725000381469727,13.416666984558105,14.825000762939453,9,2435,2384,2341,2557,2741,2734,2585,0.032499998807907104,0.004999999888241291,0.0,0.040833331644535065,81.42857142857143,1426.2379150390625,-807,0.0,0.07102626494378118,0.2753023770190973,0.525942059028431,23.648000717163086,24.876667022705078,23.5625,24.487499237060547,0.7092611948649089,42.73342692057292,-1.0,3.4296946207682293,0.054108723004659014,0.014934017260869344,0.4236446022987366,0.17520064115524292,0.04976826533675194,0.10023321211338043,0.42517563700675964,0.1157999262213707,0.02580193802714348,0.0591636598110199,27.991666793823242,30.40833282470703,29.183334350585938,29.65833282470703,21.58333396911621,23.016666412353516,22.450000762939453,22.225000381469727,15.208333969116211,15.683334350585938,15.766667366027832,14.833333969116211,9.441582351434427,16.04800033569336,17.031665802001953,16.956666946411133,17.0049991607666,3.558333396911621,4.0333333015441895,3.575000047683716,3.808333396911621,125201.29166666667,4899.984700520833,73169.17045454546,1012,888,687,1129,767,1164,846,0.28454939524332684,3.0,3.0,3.0,20.454999923706055,18.753999710083008,22.072999954223633,21.60099983215332,21.655000686645508,16.138999938964844,16.229000091552734,21.433000564575195,18.405000686645508,23.729999542236328,24.44499969482422,22.476999282836914,3.1333333333333333,0.0,210.92135184151786,239.98092215401786,277.31923130580356,323.03609793526783,3629.71435546875,3818.689453125,4028.14599609375,4224.9560546875,290.33375651041666,305.44947916666666,322.20348307291664,337.9459635416667,7.373332977294922,5.453333377838135,7.7074995040893555,5.934999942779541
ZM201800000005,ZMGE71FL,ZM,2018.0,5.0,ZM2018DHS,1465.522216796875,1693.541259765625,1972.72607421875,106.68333435058594,82.5250015258789,112.36666870117188,87.75833129882812,31.454545974731445,21.34267234802246,32.72815704345703,24.433874130249023,0.0,0.0,0.0,28.908963012695313,29.670831298828126,28.537664794921874,28.315667724609376,12.675000190734863,14.033333778381348,12.850000381469727,13.358333587646484,9.0,3158.3,3202.9,3328.5,3383.4,3587.8,3516.8,3527.0,0.01916666515171528,0.0008333332953043282,0.0,0.0,23.472,789.0469401041667,4.0,0.2806662917137146,0.18474429301718293,0.422275453507592,0.8675418350778098,21.865208435058594,22.43433380126953,22.131083679199218,21.77933349609375,1.4663218693012268,83.39820954907162,-1.0,4.071789000331565,0.1733202339799714,0.05926040123248923,0.4737110137939453,0.5362200419108073,0.3661172866821289,0.4587681452433268,0.4553979237874349,0.5053263664245605,0.2972009340922038,0.4015832265218099,27.558332443237305,29.46666717529297,28.491666793823242,28.516666412353516,21.191667556762695,22.433334350585938,22.041667938232422,21.808334350585938,14.883333206176758,15.433333396911621,15.641666412353516,15.158333778381348,0.0,14.821453857421876,15.197833251953124,15.72449951171875,15.242999267578124,3.3916666507720947,3.866666793823242,3.433333396911621,3.5916666984558105,16744.07911392405,2832.1991185897436,101492.89102564103,1116.111111111111,941.7777777777778,1015.7777777777778,1211.0,845.4444444444445,1286.4444444444443,962.0,0.6814861752942639,0.0,0.0,0.0,20.558334350585938,17.87433369954427,21.480000813802082,21.286666870117188,21.17566680908203,15.964665730794271,15.988667805989584,21.382667541503906,18.42766571044922,22.674001057942707,23.15466562906901,21.03066635131836,462.0981432360743,366.83289124668437,0.6709278564453125,0.7633644205729166,0.8821353352864584,1.0275577799479167,2658.89990234375,2957.91162109375,3302.43359375,3669.58837890625,8.400464450016578,9.345188292647546,10.433702544761273,11.593731867539788,9.008333206176758,6.709166526794434,8.789166450500488,8.047499656677246
ZM201800000006,ZMGE71FL,ZM,2018.0,6.0,ZM2018DHS,8562.408203125,9894.623046875,11525.7783203125,79.93333435058594,62.72500228881836,62.108333587646484,58.70000076293945,22.78384780883789,16.25701904296875,17.17281150817871,16.38139533996582,0.11315545668968788,0.17513240300692046,0.21676131395193246,30.2318172454834,30.766666412353516,31.21666717529297,30.81333351135254,12.141666412353516,12.358333587646484,12.133333206176758,11.875,7,2563,2724,2876,2867,3104,2905,3026,0.004999999888241291,0.0,0.0,0.0,60.0,854.0410766601562,-807,0.0,0.13528635473005782,0.3771420054479133,0.7964855636736934,22.329090118408203,23.09833335876465,23.288333892822266,23.207120895385742,0.25359327452523367,22.628289358956472,-1.0,0.39894131251743864,0.5272801262991769,0.021831169724464417,0.4115981459617615,0.24219633638858795,0.0746019184589386,0.08349032700061798,0.373823344707489,0.17004945874214172,0.03949611261487007,0.04514032602310181,26.400001525878906,27.350000381469727,26.900001525878906,26.608333587646484,20.30000114440918,21.150001525878906,20.799999237060547,20.65833282470703,14.258333206176758,14.991666793823242,14.766667366027832,14.733333587646484,7.9779805829448085,14.426363945007324,15.430000305175781,15.359999656677246,15.600909233093262,3.508333444595337,3.8583333492279053,3.616666793823242,3.5833334922790527,1752.627704326923,6722.811298076923,94919.76923076923,995,787,934,974,754,783,968,0.3497378485543387,0.0,3.0,3.0,20.145000457763672,19.14299964904785,20.56999969482422,20.643999099731445,20.211000442504883,17.56800079345703,18.084999084472656,20.5,18.738000869750977,21.650999069213867,22.166000366210938,20.665000915527344,191.5,1.5,104.86923828125,119.31752115885416,137.88199869791666,160.61222330729166,204.56515502929688,254.51290893554688,317.49945068359375,393.822509765625,17.20642852783203,21.407645089285715,26.705583844866073,33.12528337751116,9.519165992736816,8.019999504089355,8.40999984741211,8.521666526794434
ZM201800000007,ZMGE71FL,ZM,2018.0,7.0,ZM2018DHS,2756.9404296875,3185.8896484375,3711.092041015625,65.76667022705078,45.375,66.54167175292969,28.191667556762695,16.441665649414062,10.083333015441895,16.06639862060547,6.4193549156188965,2.8855727578047663e-05,2.8855727578047663e-05,0.008123795812328657,28.757272720336914,30.863332748413086,29.450000762939453,30.543333053588867,11.375,13.391666412353516,12.324999809265137,13.375,5.0,1224,1118,1146,1935,2543,2404,2305,0.0,0.0,0.0,0.0,53.6875,728.4189453125,-997.0,0.0,0.13072405295894896,0.31823300664191073,0.6726576866319837,25.440635681152344,27.21416664123535,26.14666748046875,27.155000686645508,105.16727447509766,643.944091796875,-0.25,29.7320556640625,0.3516247570514679,0.3771197497844696,0.25313815474510193,0.12246698141098022,0.14423294365406036,0.1434517353773117,0.18244697153568268,0.07117008417844772,0.08608228713274002,0.08433771878480911,30.200000762939453,32.54999923706055,31.483333587646484,31.783334732055664,24.491666793823242,25.83333396911621,25.28333282470703,25.075000762939453,18.825000762939453,19.158334732055664,19.15833282470703,18.40833282470703,2.952210235595703,22.124000549316406,23.565000534057617,22.843334197998047,23.766666412353516,4.0,4.5,4.141666889190674,4.391666889190674,2914.278545673077,3833.9693509615386,1692.1547475961538,749,622,424,628,555,781,548,2.0634443759918213,0.0,0.0,0.0,24.44099998474121,21.320999145507812,25.826000213623047,25.233999252319336,25.560001373291016,19.0,19.144001007080078,25.222999572753906,21.836000442504883,27.170000076293945,27.677000045776367,25.195999145507812,158.25,108.1875,24.0543701171875,27.36844482421875,31.626668294270832,36.84040934244792,151.86233520507812,185.3128662109375,226.73080444335938,275.8292236328125,18.099750518798828,22.086559295654297,27.022964477539062,32.87477111816406,7.323333263397217,5.47166633605957,6.459166526794434,3.5408332347869873
ZM201800000008,ZMGE71FL,ZM,2018.0,8.0,ZM2018DHS,3289.73974609375,3677.74169921875,4201.9111328125,55.875,48.29166793823242,60.03333282470703,36.69166564941406,14.607843399047852,11.429980278015137,15.42612361907959,8.667323112487793,0.0034364826360325906,0.005469952798952722,0.007319678926164178,31.839456176757814,33.51616516113281,31.149166870117188,33.39816589355469,13.800000190734863,15.016667366027832,14.208333969116211,15.800000190734863,2.0,2731.2,2835.9,2898.2,2951.4,3073.7,2969.8,3090.4,0.0,0.0008333332953043282,0.0,0.024166665971279144,29.685714285714287,1364.2484375,5.0,0.34142524003982544,0.04801187668266238,0.17548117412172481,0.2424213107693178,24.420091247558595,25.725750732421876,24.461500549316405,25.707501220703126,1.2471680480164367,2.832342608563312,-1.0,0.4039628462357955,0.07591356549944196,0.0020560797158773844,0.16433551907539368,0.08760488033294678,0.0610068254172802,0.06480088829994202,0.10772635042667389,0.04998443275690079,0.03341306746006012,0.03756752610206604,30.775001525878906,32.72500228881836,31.58333396911621,32.31666564941406,23.850000381469727,25.200000762939453,24.45833396911621,24.399999618530273,16.975000381469727,17.70833396911621,17.375,16.516666412353516,0.2758258770038555,17.00072784423828,17.935333251953125,17.773832702636717,18.01683349609375,3.825000047683716,4.224999904632568,3.891666889190674,4.233333587646484,3285.5555555555557,1473.2579872204474,198293.04458598726,610.3333333333334,536.5555555555555,480.6666666666667,697.0,540.1111111111111,707.4444444444445,416.77777777777777,1.1710772625811687,0.0,0.0,0.0,24.186748504638672,21.73900032043457,26.0054988861084,25.269750595092773,25.219749450683594,19.293750762939453,19.50749969482422,25.403249740600586,21.994998931884766,27.679000854492188,28.03849983215332,25.839750289916992,247.32987012987013,113.30389610389611,1.1290787612835977,1.2535136326607028,1.4137630166167423,1.6237688608120142,2076.3798828125,2218.1904296875,2407.436279296875,2667.3779296875,7.09977932224026,7.55908203125,8.175029804180195,9.030343826095779,5.561666488647461,5.634166717529297,6.504166603088379,3.995833158493042
ZM201800000009,ZMGE71FL,ZM,2018.0,9.0,ZM2018DHS,5168.5205078125,5972.68408203125,6957.2978515625,97.54167175292969,78.44166564941406,109.92500305175781,70.33333587646484,28.13701820373535,19.81684112548828,31.332542419433594,18.881431579589844,0.0009126348154885429,0.002893298202090793,0.010015186430915953,28.169091796875,29.156500244140624,28.38033447265625,28.672665405273438,12.933333396911621,14.725000381469727,13.491666793823242,14.791666984558105,9.0,3082.8,3084.0,3182.2,3276.4,3497.1,3430.5,3405.2,0.05499999597668648,0.01249999925494194,0.0,0.06583333015441895,21.742705570291776,1395.077392578125,4.0,0.0,0.1441982723144783,0.396541411983308,0.7909423342809129,21.79327392578125,22.64354553222656,22.2125,22.312832641601563,2.575351937107308,258.82485945767195,-1.0,7.076864898520172,2.33620521505043,0.19346868928778108,0.512616230891301,0.5616793999305139,0.2868698743673471,0.20984304868257964,0.5108280181884766,0.5445891893826998,0.2157916655907264,0.14398602338937613,27.516666412353516,29.84166717529297,28.70833396911621,29.141666412353516,21.025001525878906,22.450000762939453,21.950000762939453,21.70833396911621,14.583333969116211,15.116666793823242,15.216667175292969,14.350000381469727,0.004382251984066153,15.4174560546875,16.1305908203125,16.044667053222657,15.952999877929688,3.4666666984558105,3.9583332538604736,3.508333444595337,3.7250001430511475,36824.49840255591,3674.1365079365078,73396.71111111112,1127.1818181818182,1095.3636363636363,1020.8181818181819,1319.4545454545455,877.7272727272727,1230.090909090909,1035.2727272727273,0.9962931638041501,0.0,0.0,1.0,19.847000122070312,17.57775115966797,21.014249801635742,20.995250701904297,20.898000717163086,14.93125057220459,14.89324951171875,20.888750076293945,17.44875144958496,22.375999450683594,23.01875114440918,21.267250061035156,154.76455026455025,54.81216931216931,2.2729641927083333,2.5861202799479166,2.9884915364583335,3.481152669270833,9923.2001953125,9313.7314453125,8770.138671875,8217.2646484375,31.380285838293652,29.452980324074073,27.73399780919312,25.985664165839946,8.466666221618652,6.2758331298828125,8.588333129882812,7.00499963760376
ZM201800000010,ZMGE71FL,ZM,2018.0,10.0,ZM2018DHS,30933.115234375,35745.9609375,41638.78125,60.09166717529297,50.275001525878906,61.9083366394043,37.858333587646484,15.71023941040039,11.946534156799316,15.873931884765625,9.01388931274414,0.10039048928480881,0.1508342669560359,0.21976841413057768,31.275999069213867,32.650001525878906,30.989999771118164,32.573333740234375,14.008333206176758,15.233333587646484,14.416666984558105,15.991666793823242,2,1975.0,2024.0,2101.0,2364.0,2505.0,2426.0,2352.0,0.004999999888241291,0.049166664481163025,0.01666666567325592,0.13583332300186157,66.78571428571429,1364.2484130859375,-809,0.0,0.06688287793341698,0.21924015865170038,0.316808534023274,24.180999755859375,25.467500686645508,24.620832443237305,25.61833381652832,0.5728770664760044,2.107808385576521,-1.0,0.1056012851851327,0.12480968236923218,9.916565613821149e-05,0.17068569362163544,0.1223018616437912,0.0715201273560524,0.06502893567085266,0.11768689006567001,0.07749409973621368,0.03975898399949074,0.035682931542396545,30.233333587646484,32.108333587646484,30.96666717529297,31.683332443237305,23.200000762939453,24.475000381469727,23.741666793823242,23.658334732055664,16.225000381469727,16.875,16.549999237060547,15.691667556762695,11.743178304036459,17.086000442504883,18.28499984741211,18.251667022705078,18.663333892822266,3.825000047683716,4.208333492279053,3.9000000953674316,4.200000286102295,3127.92578125,784.7746233258929,126755.80769230769,694.0,576.0,496.0,774.0,622.0,772.0,496.0,2.629347392490932,3.0,3.0,3.0,23.19700050354004,19.910999298095703,25.07200050354004,24.163999557495117,24.46500015258789,17.07200050354004,17.016000747680664,24.256000518798828,20.059999465942383,26.634000778198242,27.291000366210938,24.40799903869629,4.0,0.6428571428571429,240.85684204101562,274.0407409667969,316.67840576171875,368.88372802734375,1911.02783203125,2189.21142578125,2514.55078125,2871.8203125,166.64998953683036,190.9088134765625,219.27982003348214,250.435302734375,6.613333225250244,6.538332939147949,6.4658331871032715,4.682499885559082
