Country/Year,Type,Phase,Survey Datasets,SPA Datasets
Angola 2015-16,Standard DHS,DHS-VII,Download,
Angola 2011,MIS,DHS-VI,Download,
Angola 2006-07,MIS,DHS-V,Download,
Benin 2017-18,Standard DHS,DHS-VII,Download,
Benin 2011-12,Standard DHS,DHS-VI,Download,
Benin 2006,Standard DHS,DHS-V,Download,
Benin 2001,Standard DHS,DHS-IV,Download,
Benin 1996,Standard DHS,DHS-III,Download,
Burkina Faso 2017-18,MIS,DHS-VII,Download,
Burkina Faso 2014,MIS,DHS-VII,Download,
Burkina Faso 2010,Standard DHS,DHS-VI,Download,
Burkina Faso 2003,Standard DHS,DHS-IV,Download,
Burkina Faso 1998-99,Standard DHS,DHS-III,Download,
Burkina Faso 1993,Standard DHS,DHS-II,Download,
Burundi 2016-17,Standard DHS,DHS-VII,Download,
Burundi 2012,MIS,DHS-VI,Download,
Burundi 2010,Standard DHS,DHS-VI,Download,
Burundi 1987,Standard DHS,DHS-I,Download,
Cameroon 2018,Standard DHS,DHS-VII,Download,
Cameroon 2011,Standard DHS,DHS-VI,Download,
Cameroon 2004,Standard DHS,DHS-IV,Download,
Cameroon 1998,Standard DHS,DHS-III,Download,
Cameroon 1991,Standard DHS,DHS-II,Download,
Central African Republic 1994-95,Standard DHS,DHS-III,Download,
Chad 2014-15,Standard DHS,DHS-VII,Download,
Chad 2004,Standard DHS,DHS-IV,Download,
Chad 1996-97,Standard DHS,DHS-III,Download,
Comoros 2012,Standard DHS,DHS-VI,Download,
Comoros 1996,Standard DHS,DHS-III,Download,
Congo 2011-12,Standard DHS,DHS-VI,Download,
Congo 2009,Standard AIS,DHS-V,Download,
Congo 2005,Standard DHS,DHS-V,Download,
Congo Democratic Republic 2017-18,SPA,DHS-VII,,Download
Congo Democratic Republic 2013-14,Standard DHS,DHS-VI,Download,
Congo Democratic Republic 2007,Standard DHS,DHS-V,Download,
Cote d'Ivoire 2011-12,Standard DHS,DHS-VI,Download,
Cote d'Ivoire 2005,Standard AIS,DHS-V,Download,
Cote d'Ivoire 1998-99,Standard DHS,DHS-III,Download,
Cote d'Ivoire 1994,Standard DHS,DHS-III,Download,
Eswatini 2006-07,Standard DHS,DHS-V,Download,
Ethiopia 2019,Interim DHS,DHS-VIII,Download,
Ethiopia 2016,Standard DHS,DHS-VII,Download,
Ethiopia 2011,Standard DHS,DHS-VI,Download,
Ethiopia 2005,Standard DHS,DHS-V,Download,
Ethiopia 2000,Standard DHS,DHS-IV,Download,
Gabon 2012,Standard DHS,DHS-VI,Download,
Gabon 2000,Standard DHS,DHS-IV,Download,
Gambia 2019-20,Standard DHS,DHS-VIII,Download,
Gambia 2013,Standard DHS,DHS-VI,Download,
Ghana 2019,MIS,DHS-VIII,Download,
Ghana 2017,Special,DHS-VII,Download,
Ghana 2016,MIS,DHS-VII,Download,
Ghana 2014,Standard DHS,DHS-VII,Download,
Ghana 2008,Standard DHS,DHS-V,Download,
Ghana 2007,Special,DHS-V,Download,
Ghana 2003,Standard DHS,DHS-IV,Download,
Ghana 2002,MCH SPA,DHS-IV,,Download
Ghana 1998,Standard DHS,DHS-IV,Download,
Ghana 1993,Standard DHS,DHS-III,Download,
