"","term","estimate","std.error","statistic","p.value"
"1","YearChar2009",0.00010273077728988,9.13430352373125e-05,1.12467006403917,0.260728921431595
"2","YearChar2010",0.000305754365364885,9.13905300445796e-05,3.34558039236385,0.000821111088319916
"3","YearChar2011",0.000380956252822323,9.16564927024035e-05,4.15634770205792,3.23380515748934e-05
"4","YearChar2012",0.00081820962195987,9.17452817355103e-05,8.91827466745006,4.7375014350004e-19
"5","YearChar2013",0.000228000611337079,8.57223896688978e-05,2.65975566264228,0.00781975866022588
"6","YearChar2014",0.000107569541989904,0.000104605930054631,1.0283312039167,0.303794103525399
"7","YearChar2015",0.000183407140438882,0.00010136260372599,1.80941623140108,0.070386418704018
"8","YearChar2016",0.000359301466044061,9.17880451661276e-05,3.91446909446387,9.06044468458621e-05
"9","YearChar2017",0.000478141215351426,9.144250316608e-05,5.22887277574865,1.70552969910363e-07
"10","YearChar2018",0.000850477879445758,9.47448761650818e-05,8.97650526202493,2.79589135370184e-19
"11","YearChar2009:exposed_15",-0.000103797387498052,0.000134085709803886,-0.774112227543608,0.438864460930127
"12","YearChar2010:exposed_15",-5.31943829986685e-05,0.000134085709803734,-0.396719255739713,0.691574514555527
"13","YearChar2011:exposed_15",-7.93184469061897e-06,0.000134085709803954,-0.0591550337632258,0.952828626922351
"14","YearChar2012:exposed_15",-1.36712223710266e-05,0.000134085709803857,-0.101958832086022,0.918789355736954
"15","YearChar2013:exposed_15",8.84355492553558e-05,0.000124033684441897,0.71299622883317,0.475848121399004
"16","YearChar2014:exposed_15",-9.84808507145581e-05,0.000131771829528283,-0.747358908706815,0.454846974642175
"17","YearChar2015:exposed_15",-0.000114709014348133,0.000131771829528339,-0.870512421044165,0.384020472755791
"18","YearChar2016:exposed_15",-2.77937223403683e-05,0.000131771829528242,-0.210923096688215,0.832947288916428
"19","YearChar2017:exposed_15",-1.05233496779559e-05,0.000131771829528325,-0.0798603898543721,0.936348296429985
"20","YearChar2018:exposed_15",0.00013620128629422,0.000137621081646423,0.989683300441925,0.322328984061041
