"","term","estimate","std.error","statistic","p.value"
"1","YearChar2009",0.0019770977259337,0.00033167297961503,5.960985209674,2.50737090307138e-09
"2","YearChar2010",0.000632496889581155,0.000331843512791034,1.90600950508695,0.056649025346959
"3","YearChar2011",0.00297383399336656,0.000332802432046825,8.93573395806238,4.04606191332042e-19
"4","YearChar2012",0.00415020451305143,0.000333122793892632,12.4584825449953,1.25882135296709e-35
"5","YearChar2013",0.000615019063165472,0.000311945555999112,1.97155898309134,0.048660024264733
"6","YearChar2014",0.00235427234187287,0.000379587972796795,6.20217844239545,5.56908842908593e-10
"7","YearChar2015",0.0012117189654711,0.000367865793797216,3.29391584078363,0.000988027092186075
"8","YearChar2016",0.00122664109573186,0.000333275034390398,3.68056700669325,0.000232718149153559
"9","YearChar2017",0.00245486130551334,0.000332027342644258,7.39355164536415,1.42978324967428e-13
"10","YearChar2018",0.00110460619068686,0.00034395448121332,3.2114894586932,0.00132049585871455
"11","YearChar2009:exposed_15",-0.00101564337628074,0.000486753150664297,-2.08656764706021,0.0369272810134999
"12","YearChar2010:exposed_15",0.000321127572160221,0.000486753150664041,0.659733936436016,0.509424612723646
"13","YearChar2011:exposed_15",-0.000845957561934467,0.000486753150664315,-1.73796011547109,0.0822178986722067
"14","YearChar2012:exposed_15",-0.000543632131852622,0.000486753150664331,-1.11685385315054,0.26405686793696
"15","YearChar2013:exposed_15",-0.00012671053414408,0.000451145140845613,-0.280864233418491,0.778814545164148
"16","YearChar2014:exposed_15",-0.000923735082692398,0.000478396853162592,-1.93089707130337,0.0534958345834209
"17","YearChar2015:exposed_15",0.000111971917901416,0.000478396853163047,0.234056551921453,0.814941084486668
"18","YearChar2016:exposed_15",0.000237124330918724,0.000478396853162938,0.495664487236836,0.620131166642319
"19","YearChar2017:exposed_15",-0.00070606028542999,0.000478396853163031,-1.47588823120744,0.139973957518725
"20","YearChar2018:exposed_15",-0.00073153286599143,0.000499525026229205,-1.46445688920453,0.143069212055317
