"","term","estimate","std.error","statistic","p.value"
"1","YearChar2009",-3.23892067766077e-07,1.12282436106872e-05,-0.0288461917104997,0.976987261598649
"2","YearChar2010",-4.42063224144289e-06,1.12344019884006e-05,-0.393490658960497,0.693957137326298
"3","YearChar2011",1.13618345197261e-05,1.12664877406809e-05,1.00846286626674,0.313232350967654
"4","YearChar2012",1.93290129480961e-05,1.12787339996084e-05,1.71375731963953,0.0865733621969133
"5","YearChar2013",-1.3382051545241e-05,1.05484317356951e-05,-1.26862948735376,0.204573296817789
"6","YearChar2014",-4.20640765163284e-06,1.28520531142629e-05,-0.327294605323772,0.743445084948
"7","YearChar2015",-1.51099818925645e-05,1.24550200347723e-05,-1.2131639973585,0.225067178905354
"8","YearChar2016",-1.01999970658128e-05,1.12826049091176e-05,-0.904046286116968,0.365970898767591
"9","YearChar2017",4.80172042917206e-06,1.12415763389731e-05,0.427139422833886,0.66927779729569
"10","YearChar2018",-1.36676902680608e-05,1.16468425071787e-05,-1.17351035352599,0.240591259075743
"11","YearChar2009:exposed_15",-3.40912752717497e-07,1.6503285450998e-05,-0.0206572657141358,0.983519059520246
"12","YearChar2010:exposed_15",-5.57753248886597e-06,1.65035214208032e-05,-0.337960144786756,0.735393235388033
"13","YearChar2011:exposed_15",-3.09183260525203e-06,1.65032372197926e-05,-0.18734703767961,0.851388552108357
"14","YearChar2012:exposed_15",6.74249516652154e-05,1.65054226112903e-05,4.08501819390522,4.4073996842053e-05
"15","YearChar2013:exposed_15",5.31009047915745e-06,1.52939186298339e-05,0.347202741670081,0.728439024767582
"16","YearChar2014:exposed_15",4.00467461044533e-07,1.62202088905144e-05,0.0246894145289786,0.980302699401174
"17","YearChar2015:exposed_15",2.01559598215743e-05,1.62203798073712e-05,1.24263180399849,0.214003598431455
"18","YearChar2016:exposed_15",1.64275961691132e-05,1.62202654538299e-05,1.01278220235504,0.311164248870748
"19","YearChar2017:exposed_15",-1.13488527865943e-05,1.62224893152852e-05,-0.699575297355948,0.484192604090344
"20","YearChar2018:exposed_15",1.42215771935018e-05,1.69396348877473e-05,0.839544493594041,0.401163869283395
