"","term","estimate","std.error","statistic","p.value"
"1","YearChar2009",4.73095133471848e-05,2.73641432762874e-05,1.72888706470782,0.0838293665652917
"2","YearChar2010",2.19711022281158e-05,2.73789585723889e-05,0.802481298549946,0.422274637308948
"3","YearChar2011",7.9273433589557e-05,2.74578877448263e-05,2.88709147354184,0.0038882270834213
"4","YearChar2012",7.07558049256954e-05,2.74865621263935e-05,2.57419624179749,0.0100473530669209
"5","YearChar2013",4.11484364502434e-05,2.56904690460143e-05,1.60170047407629,0.10922191859827
"6","YearChar2014",-1.8444781783271e-05,3.13310239741683e-05,-0.588706637819379,0.556058108880637
"7","YearChar2015",2.26002482508662e-05,3.03606457113863e-05,0.744392871802141,0.456638862425758
"8","YearChar2016",3.1115229847916e-05,2.74966090010031e-05,1.1316024403875,0.257801663749176
"9","YearChar2017",2.83983819210008e-05,2.73952082317201e-05,1.0366185823738,0.299913695868619
"10","YearChar2018",4.81579821817342e-05,2.8384737918596e-05,1.69661535434449,0.0897694624633972
"11","YearChar2009:exposed_15",1.17466081972004e-05,4.01863482849706e-05,0.292303448770775,0.770054633364402
"12","YearChar2010:exposed_15",0.00012800113871096,4.01871412071696e-05,3.18512675612077,0.0014469143587851
"13","YearChar2011:exposed_15",0.000164957862612986,4.01859763923678e-05,4.10486138254725,4.04563306805048e-05
"14","YearChar2012:exposed_15",6.68657751899999e-05,4.01897751682833e-05,1.66375091450545,0.0961622747383285
"15","YearChar2013:exposed_15",4.89644730449131e-06,3.72003260146313e-05,0.13162377401116,0.895281885074946
"16","YearChar2014:exposed_15",9.59737764369738e-05,3.94940604543628e-05,2.43008126621662,0.0150954699636306
"17","YearChar2015:exposed_15",3.72750264290608e-05,3.94939839517365e-05,0.94381530297406,0.345264081261918
"18","YearChar2016:exposed_15",0.000134710627598037,3.94930957176644e-05,3.41099184933694,0.000647274985031222
"19","YearChar2017:exposed_15",0.000121374389867969,3.94965326779506e-05,3.07303911605708,0.00211891762971516
"20","YearChar2018:exposed_15",8.73574106415109e-05,4.12490043380613e-05,2.11780652753609,0.0341915017170364
