"","term","estimate","std.error","statistic","p.value"
"1","YearChar2009",2.39745406169046e-05,1.65063877240925e-05,1.45244017150473,0.146379311165144
"2","YearChar2010",3.86921864291383e-07,1.65149903371724e-05,0.0234285250182973,0.981308452435035
"3","YearChar2011",4.10012165839736e-05,1.6563026830085e-05,2.47546641109698,0.0133062580449179
"4","YearChar2012",9.30518996272243e-05,1.65790462051477e-05,5.61262080313958,1.99294677811823e-08
"5","YearChar2013",4.93007566342186e-05,1.54927895996764e-05,3.18217428288372,0.00146174652496156
"6","YearChar2014",2.12011923644752e-05,1.8901872509653e-05,1.12164508323966,0.262013424520978
"7","YearChar2015",5.74626951870007e-05,1.83160457935569e-05,3.13728715437119,0.00170519943918298
"8","YearChar2016",1.59646586012953e-05,1.65867861278974e-05,0.962492581636672,0.335802270734472
"9","YearChar2017",3.05996910149229e-05,1.65242788667019e-05,1.85180190081301,0.0640543289156574
"10","YearChar2018",3.14024858617524e-05,1.71207668161361e-05,1.83417519781625,0.0666280465828854
"11","YearChar2009:exposed_15",-5.58423032421991e-06,2.42318627984371e-05,-0.230449898576517,0.817742199591122
"12","YearChar2010:exposed_15",2.29823417451855e-05,2.42319450705756e-05,0.948431571557685,0.342909835469774
"13","YearChar2011:exposed_15",-2.61659206556378e-05,2.42318665315212e-05,-1.07981449227614,0.280224844356072
"14","YearChar2012:exposed_15",-5.50105019781931e-05,2.42319001886162e-05,-2.27016872593575,0.0231973867937048
"15","YearChar2013:exposed_15",-5.6878032909529e-05,2.24193285420027e-05,-2.53700876022971,0.0111804434100738
"16","YearChar2014:exposed_15",-2.05252708592235e-05,2.38140357224722e-05,-0.8618980461113,0.388743662412301
"17","YearChar2015:exposed_15",2.17894280436422e-06,2.38140169026008e-05,0.0914983311415322,0.927096635610618
"18","YearChar2016:exposed_15",1.80238264965835e-05,2.38140750509034e-05,0.756856038206689,0.449136148482765
"19","YearChar2017:exposed_15",-2.25779463217354e-05,2.38139837386713e-05,-0.94809615096324,0.343080549809214
"20","YearChar2018:exposed_15",7.88987571133912e-06,2.4870344564076e-05,0.317240305658477,0.751061280907993
