"","term","estimate","std.error","statistic","p.value"
"1","YearChar2009",3.95820276045311e-05,2.42643420601561e-05,1.63128377873999,0.102830512586801
"2","YearChar2010",1.8451350947637e-05,2.42769539257986e-05,0.760035670209399,0.447233296512163
"3","YearChar2011",1.62420298029145e-05,2.43475877059231e-05,0.667089898148855,0.504714740714518
"4","YearChar2012",5.96728576811966e-05,2.43711686980293e-05,2.44850209772755,0.0143451908979565
"5","YearChar2013",-1.82432079414233e-05,2.27723260969266e-05,-0.801113064329668,0.423066228756249
"6","YearChar2014",-6.45948860658074e-05,2.77869075442619e-05,-2.32465185134092,0.0200906205320542
"7","YearChar2015",-3.15893878927231e-05,2.69254829262228e-05,-1.17321527637145,0.240709539001357
"8","YearChar2016",1.17635308428201e-05,2.43825229252979e-05,0.48245749132937,0.629481008273745
"9","YearChar2017",5.16394875674709e-06,2.42907501697174e-05,0.212589101640214,0.831647480762403
"10","YearChar2018",-7.91184507552797e-06,2.51678376357259e-05,-0.314363323144499,0.753245121125944
"11","YearChar2009:exposed_15",-3.99623455073185e-05,3.5619266154635e-05,-1.12193062411305,0.26189198822553
"12","YearChar2010:exposed_15",2.61054368896932e-05,3.56192661546461e-05,0.732902154029584,0.463618140917821
"13","YearChar2011:exposed_15",2.1494762255605e-05,3.56192661546104e-05,0.60345887425934,0.54620349164574
"14","YearChar2012:exposed_15",-4.08622156067338e-05,3.56192661545938e-05,-1.14719420185089,0.251301417979262
"15","YearChar2013:exposed_15",1.94418867799257e-05,3.29510558921424e-05,0.590023179941918,0.555175133744205
"16","YearChar2014:exposed_15",3.29315448383164e-05,3.50047229449174e-05,0.940774331799075,0.346820559366836
"17","YearChar2015:exposed_15",-5.44327339363001e-06,3.50047229449266e-05,-0.155501113441006,0.876426282005573
"18","YearChar2016:exposed_15",-1.38359096081219e-05,3.50047229449146e-05,-0.395258366418008,0.692652237380087
"19","YearChar2017:exposed_15",-6.38378947993386e-06,3.50047229449204e-05,-0.182369375983312,0.855292864015609
"20","YearChar2018:exposed_15",-2.19507121388712e-05,3.65582093551224e-05,-0.600431818901315,0.548218512506918
