"","term","estimate","std.error","statistic","p.value"
"1","YearChar2009",5.48292506111303e-05,3.83138506844763e-05,1.43105560082337,0.152414338332273
"2","YearChar2010",0.000115509987234516,3.83340924610133e-05,3.01324434253903,0.00258471912082448
"3","YearChar2011",0.000108950243952756,3.84445644892718e-05,2.83395703398225,0.00459756829950014
"4","YearChar2012",0.000229115001909132,3.84833957101013e-05,5.95360668364804,2.62312796569243e-09
"5","YearChar2013",5.07039543971647e-05,3.59848156757311e-05,1.40903749109268,0.158824139963688
"6","YearChar2014",1.64568728334866e-05,4.38608564084101e-05,0.375206372630952,0.707507005858371
"7","YearChar2015",6.6547236115416e-05,4.2504980916335e-05,1.56563383115981,0.117434423501229
"8","YearChar2016",4.64254977695505e-05,3.85004964149572e-05,1.20584153692923,0.227878648966096
"9","YearChar2017",7.20073548828126e-05,3.83573875945724e-05,1.87727474154162,0.0604805019255393
"10","YearChar2018",0.000115633950805563,3.9739244363279e-05,2.90981755336078,0.00361641268262586
"11","YearChar2009:exposed_15",0.000103886072903064,5.62922322796683e-05,1.8454779406676,0.0649680990581969
"12","YearChar2010:exposed_15",0.000265318178116216,5.62921203659634e-05,4.71323830744594,2.43816825834002e-06
"13","YearChar2011:exposed_15",0.00012580075933826,5.62925963871303e-05,2.23476562482773,0.025432780331574
"14","YearChar2012:exposed_15",0.000232056705379762,5.62947937125994e-05,4.12216992151132,3.75325758982525e-05
"15","YearChar2013:exposed_15",4.15370371678834e-06,5.21391288004065e-05,0.0796657675790693,0.936503089344115
"16","YearChar2014:exposed_15",3.49195729931484e-05,5.53257488593784e-05,0.631163133135416,0.527933891378268
"17","YearChar2015:exposed_15",0.000278368867931385,5.53264183842514e-05,5.03139144121106,4.86948327456928e-07
"18","YearChar2016:exposed_15",0.000118223877244406,5.53274113914423e-05,2.13680478213539,0.0326139176937465
"19","YearChar2017:exposed_15",7.07328836189239e-05,5.5329959719961e-05,1.27838306727352,0.201114446254613
"20","YearChar2018:exposed_15",0.000278826257875417,5.77753016657347e-05,4.82604590260033,1.39274203949429e-06
