"","term","estimate","std.error","statistic","p.value"
"1","time1 year after",0.000236207275694136,9.7717797604967e-05,2.41723904430414,0.0156388824298717
"2","time1 year before",-0.000368082096804414,0.000114425828012993,-3.21677459710073,0.00129643641058159
"3","time3 years before",-0.000554305922683857,0.00018202668463277,-3.04519045546615,0.00232537750202527
"4","time4 year after",-5.98522886211982e-05,8.98546141776965e-05,-0.666101448088512,0.505346379549758
"5","timeEnd",0.000332764612803669,0.000314588225558805,1.05777834568531,0.290156707747293
"6","timeOnset",0.00054815689549661,0.000314991531151233,1.74022740704552,0.0818193362775224
"7","time1 year after:exposed_15",-0.000193825682282962,0.000237006079340432,-0.817808905249867,0.413466465146106
"8","time1 year before:exposed_15",0.000193028962828888,0.000289163407693136,0.667542841498579,0.504425574858897
"9","time3 years before:exposed_15",0.000169531568822961,0.000210084472416047,0.806968582081706,0.419684734851465
"10","time4 year after:exposed_15",-9.26424815507336e-05,0.000198124528170079,-0.46759723496328,0.640072722561578
"11","timeEnd:exposed_15",0.00134859310647138,0.000848903789321459,1.58862891582723,0.112144443965149
"12","timeOnset:exposed_15",-0.00116440009069253,0.000848903789325614,-1.37165142308713,0.170172218774644
