"","term","estimate","std.error","statistic","p.value"
"1","time1 year after",0.000773814044763295,0.000361190112999261,2.14240095980944,0.0321614197452646
"2","time1 year before",-0.00194801018051358,0.000422623284258588,-4.60932999451508,4.04007814457771e-06
"3","time3 years before",-0.0044177029033055,0.000672398793933666,-6.57006369309657,5.03129873533579e-11
"4","time4 year after",-0.000848755490335947,0.000331873878163984,-2.55746398309952,0.0105439623781048
"5","timeEnd",0.00260098041696859,0.00116190421272386,2.23854977758544,0.0251853971833522
"6","timeOnset",-0.000799961348042266,0.00116339387862762,-0.68761007147977,0.491698489403667
"7","time1 year after:exposed_15",0.00198918807424333,0.000876234578334862,2.27015473187951,0.0231983628323963
"8","time1 year before:exposed_15",0.000285207969387806,0.00106799985271947,0.267048697302322,0.789431710317863
"9","time3 years before:exposed_15",0.00043252606647381,0.000776178402001193,0.557250839959787,0.577356156364704
"10","time4 year after:exposed_15",0.00173651890708038,0.000731757688190513,2.37307914232434,0.0176406311904079
"11","timeEnd:exposed_15",0.00295029384320743,0.00313535218442359,0.940976856719469,0.346716897807339
"12","timeOnset:exposed_15",0.00117222977380693,0.00313535218444149,0.373874992297155,0.708497384921005
