"","term","estimate","std.error","statistic","p.value"
"1","time1 year after",-0.000672404886786968,0.000177604483590511,-3.78596797329329,0.000153118405996576
"2","time1 year before",-0.0017285949469895,0.0002079717368971,-8.31168202362404,9.44458704133261e-17
"3","time3 years before",-0.00200008109967903,0.000330837944737434,-6.04550092120289,1.4898763358614e-09
"4","time4 year after",-0.00118938094839033,0.000163312955678436,-7.28283278843001,3.27069431311782e-13
"5","timeEnd",0.000947144753874838,0.000571771782760552,1.65650838749328,0.0976191540200055
"6","timeOnset",-0.000678027725292386,0.000572504800524234,-1.1843179737035,0.23628743736109
"7","time1 year after:exposed_15",0.000152766885364962,0.000430764337313815,0.354641441112777,0.722858284654244
"8","time1 year before:exposed_15",0.000766308536337816,0.000525561555370147,1.45807570684677,0.144819922973666
"9","time3 years before:exposed_15",0.00012138596143278,0.000381833659254928,0.317902726725664,0.750558776263913
"10","time4 year after:exposed_15",3.96620448398601e-05,0.000360096168504641,0.110142923776622,0.912296044309321
"11","timeEnd:exposed_15",-0.000313075631097243,0.0015429033688414,-0.202913310982229,0.839202822434996
"12","timeOnset:exposed_15",0.00158229965323271,0.00154290336884895,1.02553386373973,0.305111550024669
