"","term","estimate","std.error","statistic","p.value"
"1","time1 year after",1.34903662664522e-06,1.20222999220021e-05,0.112211193814616,0.910655971826918
"2","time1 year before",6.6800420561002e-05,1.39836680625308e-05,4.7770313384364,1.77922143140714e-06
"3","time3 years before",1.52714328907601e-05,2.2278530162021e-05,0.685477577726103,0.493042731857523
"4","time4 year after",1.53491140797384e-05,1.09861749052204e-05,1.39712995762017,0.162374742095873
"5","timeEnd",4.42673167664748e-07,3.84521186875049e-05,0.0115123218895243,0.990814700832717
"6","timeOnset",-1.34963439686871e-06,3.85108629452663e-05,-0.0350455506226096,0.972043424603398
"7","time1 year after:exposed_15",8.32984685812218e-07,2.93022675951498e-05,0.0284273114054182,0.977321346177331
"8","time1 year before:exposed_15",-6.36321078559559e-05,3.53319434414754e-05,-1.80097955724846,0.0717063425650808
"9","time3 years before:exposed_15",9.21131876803847e-07,2.57828986398998e-05,0.0357264669759966,0.971500472117763
"10","time4 year after:exposed_15",3.05056601018995e-05,2.42312801165354e-05,1.2589372065854,0.208053248184674
"11","timeEnd:exposed_15",-1.02768406486671e-07,0.000103778157156728,-0.000990270104059254,0.999209879059786
"12","timeOnset:exposed_15",-5.63416573368249e-08,0.000103574676407033,-0.000543971357587548,0.999565973760296
