"","term","estimate","std.error","statistic","p.value"
"1","time1 year after",-4.49958373636881e-05,3.71799507593568e-05,-1.21021777718101,0.226195562878147
"2","time1 year before",-0.000118791667592939,4.35322010133597e-05,-2.72882291332991,0.00635616979500226
"3","time3 years before",-8.74598762188283e-06,6.92517458492893e-05,-0.12629266619381,0.899500281234943
"4","time4 year after",-6.89373637455034e-05,3.41849175848787e-05,-2.01660172426442,0.043737302321629
"5","timeEnd",0.00012894745160989,0.000119681357711265,1.07742303459642,0.281291521969004
"6","timeOnset",-0.000113049982150744,0.000119834803855624,-0.943381876662028,0.345485788647134
"7","time1 year after:exposed_15",0.00013696012772009,9.01751613099771e-05,1.51882320730528,0.128807250814744
"8","time1 year before:exposed_15",0.000100656463157653,0.000109998772192595,0.915068969873726,0.360155596951943
"9","time3 years before:exposed_15",6.08103999287246e-05,7.99310380834129e-05,0.760785814707739,0.446785149279426
"10","time4 year after:exposed_15",0.000219602667803283,7.53719570396922e-05,2.91358585378958,0.00357309780941014
"11","timeEnd:exposed_15",-0.000131060303345944,0.000322920325090637,-0.405859567090296,0.684845856200001
"12","timeOnset:exposed_15",0.000121718067889428,0.000322920325150249,0.376929101111225,0.706226356977655
