"","term","estimate","std.error","statistic","p.value"
"1","time1 year after",3.85971360260627e-05,2.33837643363186e-05,1.65059549313519,0.0988214461890137
"2","time1 year before",-3.70887270709142e-05,2.7378983862606e-05,-1.35464220502244,0.175531820010516
"3","time3 years before",-4.84744210773264e-05,4.35556396574749e-05,-1.11293098800828,0.265738279949156
"4","time4 year after",1.89838253270602e-05,2.14996729404182e-05,0.882982051851201,0.377246135482486
"5","timeEnd",0.000222525353458441,7.52703461436683e-05,2.95634821492261,0.00311311114952479
"6","timeOnset",-2.55448005183322e-05,7.53668482445049e-05,-0.338939482190629,0.734655376359315
"7","time1 year after:exposed_15",-6.6377297990166e-05,5.67160771129433e-05,-1.17034360218503,0.241862940666025
"8","time1 year before:exposed_15",5.93196614995336e-06,6.91872982436036e-05,0.0857377914811375,0.931674872935295
"9","time3 years before:exposed_15",-8.6142527477224e-06,5.02726605536817e-05,-0.171350643726604,0.863948088523745
"10","time4 year after:exposed_15",-5.83817076737316e-05,4.74056026576739e-05,-1.23153602951361,0.218122677098502
"11","timeEnd:exposed_15",-0.000313028876983019,0.000203113919753121,-1.54114930854319,0.123280699764441
"12","timeOnset:exposed_15",0.000735232775884301,0.000203113919753168,3.61980496845212,0.000294836559733196
