"","term","estimate","std.error","statistic","p.value"
"1","time1 year after",0.000713358543526034,0.000187713598027178,3.80024969433889,0.000144557097102268
"2","time1 year before",-0.00079948771003177,0.000219349303907415,-3.64481535063008,0.000267594507545093
"3","time3 years before",-0.000319085929903904,0.00034911329586976,-0.913989623651981,0.360722471461599
"4","time4 year after",0.000329422506258938,0.00017225265900773,1.91243785818224,0.0558202806257735
"5","timeEnd",0.00204439265472445,0.000603045277082469,3.39011469356865,0.000698655113572512
"6","timeOnset",-1.10075979142312e-05,0.000603818538976303,-0.0182299767292557,0.985455391497351
"7","time1 year after:exposed_15",-0.000450777774277896,0.000456009903321313,-0.988526281983551,0.322895157640922
"8","time1 year before:exposed_15",0.000225662177733037,0.000554307530318476,0.407106462370055,0.683929865806481
"9","time3 years before:exposed_15",-0.000509415965816116,0.000403251287766597,-1.26327176445613,0.206491761638586
"10","time4 year after:exposed_15",-0.000865465576664164,0.000379796041788601,-2.27876407713036,0.0226812585253215
"11","timeEnd:exposed_15",-0.00188238538210043,0.00162729360081363,-1.1567583017344,0.247371339924819
"12","timeOnset:exposed_15",-0.00132538328980638,0.00162729360082173,-0.814470903798248,0.415375386730193
