"","term","estimate","std.error","statistic","p.value"
"1","time1 year after",7.64140365652723e-06,1.37415088977163e-05,0.556081847590779,0.578155001355338
"2","time1 year before",1.6262596309941e-05,1.6090488585051e-05,1.01069623983015,0.312162029143273
"3","time3 years before",-1.03861195148395e-05,2.55969046515096e-05,-0.405756854441654,0.684921331326069
"4","time4 year after",1.44342496172492e-05,1.26353102831639e-05,1.14237397371099,0.253298819314891
"5","timeEnd",-8.59038351074082e-07,4.42371896176864e-05,-0.0194189178493977,0.98450692203159
"6","timeOnset",1.79291318635613e-06,4.42939024254301e-05,0.0404776524121926,0.967712329568254
"7","time1 year after:exposed_15",-5.83327589337668e-06,3.33291698426861e-05,-0.175020137642485,0.861063838056666
"8","time1 year before:exposed_15",1.57324645642576e-05,4.06619684064965e-05,0.386908582658385,0.698823951616582
"9","time3 years before:exposed_15",-1.63958629804056e-05,2.95430182085752e-05,-0.554982665097045,0.578906614882424
"10","time4 year after:exposed_15",-1.74820541099804e-05,2.78601496096503e-05,-0.627493188476094,0.530336112143277
"11","timeEnd:exposed_15",-2.94646277144508e-05,0.000119372293115997,-0.246829703487554,0.805040061274563
"12","timeOnset:exposed_15",-2.9464627714645e-05,0.000119372293116688,-0.24682970348775,0.805040061274412
