"","term","estimate","std.error","statistic","p.value"
"1","time1 year after",0.000715015953062338,0.00018532850849392,3.85810018584267,0.000114277444882255
"2","time1 year before",-0.000760212895872959,0.000216571215643148,-3.51022130810582,0.000447749370946135
"3","time3 years before",-0.000315972868475787,0.000344687566071492,-0.916693549689141,0.359303421065907
"4","time4 year after",0.000353599171721535,0.00017007094671726,2.07912743797087,0.0376058388557202
"5","timeEnd",0.0019839864948221,0.000595407755599761,3.33214755125857,0.000861810087493706
"6","timeOnset",4.45464420006566e-05,0.000596171221272891,0.0747208862338993,0.940436801076502
"7","time1 year after:exposed_15",-0.000376790375160965,0.000450216529668087,-0.836909243289547,0.402643741686916
"8","time1 year before:exposed_15",0.000265880343010502,0.000547287268907741,0.485814960653365,0.627098449865517
"9","time3 years before:exposed_15",-0.000394689604640884,0.000398131794024357,-0.99135414595082,0.321512871036456
"10","time4 year after:exposed_15",-0.000809862651968747,0.00037498587126678,-2.15971510935296,0.0307949172231563
"11","timeEnd:exposed_15",-0.00175793698104047,0.00160668405495011,-1.09413980653157,0.273893873714917
"12","timeOnset:exposed_15",-0.00132729324103726,0.00160668405495778,-0.826107184509369,0.408743447612856
