"","term","estimate","std.error","statistic","p.value"
"1","time1 year after",0.000705054154152821,0.000187194086488231,3.76643390493613,0.000165603356445181
"2","time1 year before",-0.000815733453848992,0.00021875022535647,-3.72906337591056,0.000192201154033427
"3","time3 years before",-0.000309334086331506,0.00034815393727242,-0.888498026921524,0.3742730848843
"4","time4 year after",0.000315054192409572,0.000171782064559343,1.83403426439048,0.0666491417754454
"5","timeEnd",0.00204525405135151,0.000601398407627369,3.40083050671921,0.000671835346058007
"6","timeOnset",-1.28079169048456e-05,0.00060216955448361,-0.0212696188465208,0.983030582342185
"7","time1 year after:exposed_15",-0.000445193554611376,0.000454743276471404,-0.978999751389115,0.327580288716187
"8","time1 year before:exposed_15",0.000209929731454679,0.000552793760180064,0.379761398511983,0.704122602376862
"9","time3 years before:exposed_15",-0.000492659578518309,0.000402135226825786,-1.22510923105908,0.220534294664769
"10","time4 year after:exposed_15",-0.000848044357681495,0.000378758730675211,-2.23900939833041,0.0251554769857112
"11","timeEnd:exposed_15",-0.00185292075436884,0.00162284959036411,-1.14176986294405,0.253549907528523
"12","timeOnset:exposed_15",-0.0012959186620817,0.00162284959037393,-0.798545145384115,0.424554355007162
