"","term","estimate","std.error","statistic","p.value"
"1","time1 year after",-3.24157508837798e-06,2.97393652519039e-05,-0.108999471270506,0.913202926859564
"2","time1 year before",-3.92557605643554e-05,3.48228579104557e-05,-1.12729864577165,0.259616446977685
"3","time3 years before",-4.66648790506035e-06,5.53962768161778e-05,-0.0842382949407453,0.932866984645601
"4","time4 year after",-2.41217865896701e-05,2.73451937793516e-05,-0.882121618311019,0.377711209085562
"5","timeEnd",6.04088254726273e-05,9.57376403695059e-05,0.630983020256978,0.528051739894546
"6","timeOnset",-5.55624110158205e-05,9.58603775489209e-05,-0.579618111638096,0.562172278943707
"7","time1 year after:exposed_15",-7.30343496649053e-05,7.21301472831442e-05,-1.01253570685516,0.311282175155123
"8","time1 year before:exposed_15",-4.02180871727397e-05,8.80001858601592e-05,-0.457022752618387,0.647654769603042
"9","time3 years before:exposed_15",-0.000113689520785231,6.39363068570553e-05,-1.77816840499422,0.0753764386922605
"10","time4 year after:exposed_15",-5.56040690239615e-05,6.02946247390178e-05,-0.922206071679538,0.356421271183926
"11","timeEnd:exposed_15",-0.000124448401058628,0.00025834420694405,-0.481715469956639,0.630008167661541
"12","timeOnset:exposed_15",1.90995122799422e-06,0.000258344206945388,0.00739304840846682,0.994101255709387
