"","term","estimate","std.error","statistic","p.value"
"1","time1 year after",-3.11687357087208e-05,4.27339680223745e-05,-0.729366757900918,0.465777482700147
"2","time1 year before",-0.000195034518738565,4.97059854112103e-05,-3.9237632475259,8.71810575616508e-05
"3","time3 years before",-0.000144001025809095,7.91920209395131e-05,-1.81837796410174,0.0690066226755867
"4","time4 year after",-8.9982277663284e-05,3.90502960029136e-05,-2.30426621238851,0.0212078671583685
"5","timeEnd",-0.00015599096518274,0.000136678059144708,-1.14130216772822,0.25374441853858
"6","timeOnset",-0.000122242276381789,0.000136886850980789,-0.893016937024465,0.371848274146153
"7","time1 year after:exposed_15",-0.000141124251077923,0.000104160012470971,-1.35487936041918,0.175456240833246
"8","time1 year before:exposed_15",0.00022136450206464,0.000125599374923655,1.7624649979285,0.0779910089988024
"9","time3 years before:exposed_15",-0.000211181576538111,9.16492762778639e-05,-2.30423616110014,0.0212095531109314
"10","time4 year after:exposed_15",-5.00387580731994e-05,8.61345567591927e-05,-0.580937082117846,0.561282963502004
"11","timeEnd:exposed_15",3.19331894188451e-05,0.000368919634108843,0.0865586606578489,0.931022340365683
"12","timeOnset:exposed_15",0.00162793429799841,0.000368196247906151,4.42137666327702,9.80822704318673e-06
