"","year","type_of_violence","latitude","longitude","geom_wkt","country","date_start","date_end","best"
"1",1990,1,20,-3,"POINT (-3 20)","Mali","1990-06-28 00:00:00.000","1990-12-31 00:00:00.000",250
"2",1990,1,16.615833,2.42,"POINT (2.42 16.615833)","Mali","1990-06-28 00:00:00.000","1990-06-28 00:00:00.000",4
"3",1990,1,15.9182,2.4022,"POINT (2.4022 15.9182)","Mali","1990-06-28 00:00:00.000","1990-06-28 00:00:00.000",4
"4",1990,1,17.583333,2.866667,"POINT (2.866667 17.583333)","Mali","1990-07-02 00:00:00.000","1990-07-02 00:00:00.000",4
"5",1990,1,16.485833,3.566944,"POINT (3.566944 16.485833)","Mali","1990-07-17 00:00:00.000","1990-07-21 00:00:00.000",40
"6",1990,1,16.485833,3.566944,"POINT (3.566944 16.485833)","Mali","1990-07-20 00:00:00.000","1990-08-10 00:00:00.000",100
"7",1990,1,20.013611,2.263056,"POINT (2.263056 20.013611)","Mali","1990-09-03 00:00:00.000","1990-09-04 00:00:00.000",55
"8",1991,1,16.770456,-3.005588,"POINT (-3.005588 16.770456)","Mali","1991-12-12 00:00:00.000","1991-12-12 00:00:00.000",12
"9",1994,1,15.3177,0.7446,"POINT (0.7446 15.3177)","Mali","1994-05-30 00:00:00.000","1994-05-30 00:00:00.000",3
"10",1994,1,15.9322,-3.9906,"POINT (-3.9906 15.9322)","Mali","1994-06-08 00:00:00.000","1994-06-08 00:00:00.000",1
"11",1994,1,15.508144,-5.505633,"POINT (-5.505633 15.508144)","Mali","1994-07-15 00:00:00.000","1994-07-28 00:00:00.000",20
"12",1994,1,15.9322,-3.9906,"POINT (-3.9906 15.9322)","Mali","1994-10-04 00:00:00.000","1994-10-04 00:00:00.000",3
"13",1994,1,16.908889,-0.356667,"POINT (-0.356667 16.908889)","Mali","1994-10-06 00:00:00.000","1994-10-06 00:00:00.000",22
"14",1994,1,16.271667,-0.044722,"POINT (-0.044722 16.271667)","Mali","1994-11-13 00:00:00.000","1994-11-13 00:00:00.000",14
"15",1994,1,15.5557,0.4944,"POINT (0.4944 15.5557)","Mali","1994-11-20 00:00:00.000","1994-11-20 00:00:00.000",6
"16",1994,1,15.9322,-3.9906,"POINT (-3.9906 15.9322)","Mali","1994-11-25 00:00:00.000","1994-11-25 00:00:00.000",8
"17",1994,1,16.877778,-1.923056,"POINT (-1.923056 16.877778)","Mali","1994-12-01 00:00:00.000","1994-12-01 00:00:00.000",16
"18",1994,1,16.07979,-1.76981,"POINT (-1.76981 16.07979)","Mali","1994-12-18 00:00:00.000","1994-12-18 00:00:00.000",13
"19",1995,1,14.7328,-6.1219,"POINT (-6.1219 14.7328)","Mali","1995-01-06 00:00:00.000","1995-01-06 00:00:00.000",0
"20",1995,1,16.770456,-3.005588,"POINT (-3.005588 16.770456)","Mali","1995-01-23 00:00:00.000","1995-01-23 00:00:00.000",2
"21",1995,1,13.5781,-7.2678,"POINT (-7.2678 13.5781)","Mali","1995-03-17 00:00:00.000","1995-03-17 00:00:00.000",0
"22",2007,1,19.939288,2.974957,"POINT (2.974957 19.939288)","Mali","2007-05-11 00:00:00.000","2007-05-11 00:00:00.000",10
"23",2007,1,19.939288,2.974957,"POINT (2.974957 19.939288)","Mali","2007-08-28 00:00:00.000","2007-08-28 00:00:00.000",3
"24",2007,1,19.116667,1.75,"POINT (1.75 19.116667)","Mali","2007-08-30 00:00:00.000","2007-08-30 00:00:00.000",1
"25",2007,1,19.939288,2.974957,"POINT (2.974957 19.939288)","Mali","2007-08-30 00:00:00.000","2007-08-30 00:00:00.000",10
"26",2007,1,19.116667,1.75,"POINT (1.75 19.116667)","Mali","2007-08-31 00:00:00.000","2007-08-31 00:00:00.000",2
"27",2007,1,19.939288,2.974957,"POINT (2.974957 19.939288)","Mali","2007-09-14 00:00:00.000","2007-09-16 00:00:00.000",4
"28",2007,1,19.939288,2.974957,"POINT (2.974957 19.939288)","Mali","2007-09-14 00:00:00.000","2007-09-14 00:00:00.000",8
"29",2007,1,19.939288,2.974957,"POINT (2.974957 19.939288)","Mali","2007-09-16 00:00:00.000","2007-09-16 00:00:00.000",1
"30",2008,1,17,-4,"POINT (-4 17)","Mali","2008-03-20 00:00:00.000","2008-03-23 00:00:00.000",5
"31",2008,1,19.939288,2.974957,"POINT (2.974957 19.939288)","Mali","2008-03-20 00:00:00.000","2008-03-20 00:00:00.000",3
"32",2008,1,19.939288,2.974957,"POINT (2.974957 19.939288)","Mali","2008-03-20 00:00:00.000","2008-03-20 00:00:00.000",3
"33",2008,1,20,-3,"POINT (-3 20)","Mali","2008-04-01 00:00:00.000","2008-05-31 00:00:00.000",34
"34",2008,1,20.198611,1.011389,"POINT (1.011389 20.198611)","Mali","2008-05-03 00:00:00.000","2008-05-03 00:00:00.000",0
"35",2008,1,14.6937,-6.0197,"POINT (-6.0197 14.6937)","Mali","2008-05-06 00:00:00.000","2008-05-06 00:00:00.000",1
"36",2008,1,19.116667,1.75,"POINT (1.75 19.116667)","Mali","2008-05-21 00:00:00.000","2008-05-21 00:00:00.000",32
"37",2008,1,20.242983,0.977308,"POINT (0.977308 20.242983)","Mali","2008-06-02 00:00:00.000","2008-06-03 00:00:00.000",20
"38",2008,1,15.2807,-5.5549,"POINT (-5.5549 15.2807)","Mali","2008-12-20 00:00:00.000","2008-12-20 00:00:00.000",14
"39",2009,1,19.939288,2.974957,"POINT (2.974957 19.939288)","Mali","2009-01-01 00:00:00.000","2009-01-01 00:00:00.000",3
"40",2009,1,20.242983,0.977308,"POINT (0.977308 20.242983)","Mali","2009-01-02 00:00:00.000","2009-01-02 00:00:00.000",5
"41",2009,1,20.013611,2.263056,"POINT (2.263056 20.013611)","Mali","2009-01-22 00:00:00.000","2009-01-22 00:00:00.000",31
"42",2005,1,20.198611,1.011389,"POINT (1.011389 20.198611)","Mali","2005-06-29 00:00:00.000","2005-06-29 00:00:00.000",12
"43",2010,1,15.508144,-5.505633,"POINT (-5.505633 15.508144)","Mali","2010-07-22 00:00:00.000","2010-07-22 00:00:00.000",6
"44",2010,1,16.605592,-4.459817,"POINT (-4.459817 16.605592)","Mali","2010-09-17 00:00:00.000","2010-09-18 00:00:00.000",22
"45",1990,3,20,-3,"POINT (-3 20)","Mali","1990-06-28 00:00:00.000","1990-08-28 00:00:00.000",0
"46",1990,3,17.583333,2.866667,"POINT (2.866667 17.583333)","Mali","1990-07-01 00:00:00.000","1990-07-31 00:00:00.000",94
"47",1990,3,19.116667,1.75,"POINT (1.75 19.116667)","Mali","1990-07-29 00:00:00.000","1990-07-29 00:00:00.000",2
"48",1990,3,16.271667,-0.044722,"POINT (-0.044722 16.271667)","Mali","1990-08-03 00:00:00.000","1990-08-03 00:00:00.000",11
"49",1990,3,18.441111,1.407778,"POINT (1.407778 18.441111)","Mali","1990-08-06 00:00:00.000","1990-08-06 00:00:00.000",4
"50",1990,3,17.583333,2.866667,"POINT (2.866667 17.583333)","Mali","1990-08-06 00:00:00.000","1990-08-06 00:00:00.000",2
"51",1990,3,15.9182,2.4022,"POINT (2.4022 15.9182)","Mali","1990-08-06 00:00:00.000","1990-08-06 00:00:00.000",3
"52",1990,3,16.271667,-0.044722,"POINT (-0.044722 16.271667)","Mali","1990-08-06 00:00:00.000","1990-08-06 00:00:00.000",9
"53",1991,3,17,-4,"POINT (-4 17)","Mali","1991-03-01 00:00:00.000","1991-04-30 00:00:00.000",53
"54",1991,3,12.65,-8,"POINT (-8 12.65)","Mali","1991-03-01 00:00:00.000","1991-04-30 00:00:00.000",53
"55",1991,3,15.7118,-4.9118,"POINT (-4.9118 15.7118)","Mali","1991-05-20 00:00:00.000","1991-05-20 00:00:00.000",20
"56",1991,3,17,-4,"POINT (-4 17)","Mali","1991-06-01 00:00:00.000","1991-07-31 00:00:00.000",50
"57",1992,3,16.770456,-3.005588,"POINT (-3.005588 16.770456)","Mali","1992-01-15 00:00:00.000","1992-01-31 00:00:00.000",2
"58",1992,3,17,-4,"POINT (-4 17)","Mali","1992-02-08 00:00:00.000","1992-02-18 00:00:00.000",58
"59",1992,3,15.819607,-1.291135,"POINT (-1.291135 15.819607)","Mali","1992-05-20 00:00:00.000","1992-05-20 00:00:00.000",10
"60",1992,3,16.41453,-3.670749,"POINT (-3.670749 16.41453)","Mali","1992-06-07 00:00:00.000","1992-06-15 00:00:00.000",7
"61",1992,3,15.508144,-5.505633,"POINT (-5.505633 15.508144)","Mali","1992-06-30 00:00:00.000","1992-06-30 00:00:00.000",0
"62",1993,3,20,-3,"POINT (-3 20)","Mali","1993-12-27 00:00:00.000","1993-12-27 00:00:00.000",0
"63",1994,3,17,-4,"POINT (-4 17)","Mali","1994-04-01 00:00:00.000","1994-09-21 00:00:00.000",48
"64",1994,3,15.9182,2.4022,"POINT (2.4022 15.9182)","Mali","1994-04-21 00:00:00.000","1994-04-21 00:00:00.000",4
"65",1994,3,15.4275,3.0175,"POINT (3.0175 15.4275)","Mali","1994-06-12 00:00:00.000","1994-06-12 00:00:00.000",26
"66",1994,3,16.66166,2.70226,"POINT (2.70226 16.66166)","Mali","1994-06-12 00:00:00.000","1994-06-12 00:00:00.000",0
"67",1994,3,15.9322,-3.9906,"POINT (-3.9906 15.9322)","Mali","1994-06-13 00:00:00.000","1994-06-13 00:00:00.000",25
"68",1994,3,16.770456,-3.005588,"POINT (-3.005588 16.770456)","Mali","1994-06-16 00:00:00.000","1994-06-19 00:00:00.000",8
"69",1994,3,16.770456,-3.005588,"POINT (-3.005588 16.770456)","Mali","1994-06-19 00:00:00.000","1994-06-29 00:00:00.000",50
